Gen 1:1
ἐν P--------- ἐν
ἀρχῇ N1--DSF--- ἀρχή
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Gen 1:2
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
γῆ N1--NSF--- γῆ
ἦν V9--IAI3S- εἰμί
ἀόρατος A1B-NSM--- ἀόρατος
καὶ C--------- καί
ἀκατασκεύαστος A1B-NSM--- ἀκατασκεύαστος
καὶ C--------- καί
σκότος N3E-NSN--- σκότος
ἐπάνω P--------- ἐπάνω
τῆς RA--GSF--- ὁ
ἀβύσσου N2--GSF--- ἄβυσσος
καὶ C--------- καί
πνεῦμα N3M-NSN--- πνεῦμα
θεοῦ N2--GSM--- θεός
ἐπεφέρετο V1I-IMI3S- φέρω ἐπι
ἐπάνω P--------- ἐπάνω
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ

Gen 1:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
γενηθήτω VC--APD3S- γίγνομαι
φῶς N3T-NSN--- φῶς
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
φῶς N3T-NSN--- φῶς

Gen 1:4
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸ RA--ASN--- ὁ
φῶς N3T-ASN--- φῶς
ὅτι C--------- ὅτι
καλόν A1--NSN--- καλός
καὶ C--------- καί
διεχώρισεν VAI-AAI3S- χωρίζω δια
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τοῦ RA--GSN--- ὁ
φωτὸς N3T-GSN--- φῶς
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τοῦ RA--GSN--- ὁ
σκότους N3E-GSN--- σκότος

Gen 1:5
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸ RA--ASN--- ὁ
φῶς N3T-ASN--- φῶς
ἡμέραν N1A-ASF--- ἡμέρα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
σκότος N3E-ASN--- σκότος
ἐκάλεσεν VAI-AAI3S- καλέω
νύκτα N3--ASF--- νύξ
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἑσπέρα N1A-NSF--- ἑσπέρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρωί D--------- πρωΐ
ἡμέρα N1A-NSF--- ἡμέρα
μία A1A-NSF--- εἷς

Gen 1:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
γενηθήτω VC--APD3S- γίγνομαι
στερέωμα N3M-NSN--- στερέωμα
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
καὶ C--------- καί
ἔστω V9--PAD3S- εἰμί
διαχωρίζον V1--PAPNSN χωρίζω δια
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
ὕδατος N3T-GSN--- ὕδωρ
καὶ C--------- καί
ὕδατος N3T-GSN--- ὕδωρ
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως

Gen 1:7
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸ RA--ASN--- ὁ
στερέωμα N3M-ASN--- στερέωμα
καὶ C--------- καί
διεχώρισεν VAI-AAI3S- χωρίζω δια
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
ὃ RR--NSN--- ὅς
ἦν V9--IAI3S- εἰμί
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSN--- ὁ
στερεώματος N3M-GSN--- στερέωμα
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
τοῦ RA--GSN--- ὁ
ἐπάνω P--------- ἐπάνω
τοῦ RA--GSN--- ὁ
στερεώματος N3M-GSN--- στερέωμα

Gen 1:8
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸ RA--ASN--- ὁ
στερέωμα N3M-ASN--- στερέωμα
οὐρανόν N2--ASM--- οὐρανός
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλόν A1--NSN--- καλός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἑσπέρα N1A-NSF--- ἑσπέρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρωί D--------- πρωΐ
ἡμέρα N1A-NSF--- ἡμέρα
δευτέρα A1A-NSF--- δεύτερος

Gen 1:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
συναχθήτω VQ--APD3S- ἄγω συν
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
τὸ RA--NSN--- ὁ
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εἰς P--------- εἰς
συναγωγὴν N1--ASF--- συναγωγή
μίαν A1A-ASF--- εἷς
καὶ C--------- καί
ὀφθήτω VV--APD3S- ὁράω
ἡ RA--NSF--- ὁ
ξηρά A1A-NSF--- ξηρός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως
καὶ C--------- καί
συνήχθη VQI-API3S- ἔχω συν
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
τὸ RA--NSN--- ὁ
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
συναγωγὰς N1--APF--- συναγωγή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὤφθη VVI-API3S- ὁράω
ἡ RA--NSF--- ὁ
ξηρά A1A-NSF--- ξηρός

Gen 1:10
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὴν RA--ASF--- ὁ
ξηρὰν A1A-ASF--- ξηρός
γῆν N1--ASF--- γῆ
καὶ C--------- καί
τὰ RA--APN--- ὁ
συστήματα N3M-APN--- σύστημα
τῶν RA--GPN--- ὁ
ὑδάτων N3T-GPN--- ὕδωρ
ἐκάλεσεν VAI-AAI3S- καλέω
θαλάσσας N1S-APF--- θάλασσα
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλόν A1--NSN--- καλός

Gen 1:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
βλαστησάτω VA--AAD3S- βλαστάνω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
βοτάνην N1--ASF--- βοτάνη
χόρτου N2--GSM--- χόρτος
σπεῖρον V1--PAPNSN σπείρω
σπέρμα N3M-ASN--- σπέρμα
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
καθ' P--------- κατά
ὁμοιότητα N3T-ASF--- ὁμοιότης
καὶ C--------- καί
ξύλον N2N-ASN--- ξύλον
κάρπιμον A1B-ASN--- κάρπιμος
ποιοῦν V2--PAPASN ποιέω
