Num 1:1
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος
τῇ RA--DSF--- ὁ
Σινα N---DS---- Σινα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
ἐν P--------- ἐν
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τοῦ RA--GSN--- ὁ
δευτέρου A1A-GSN--- δεύτερος
ἔτους N3E-GSN--- ἔτος
δευτέρου A1A-GSM--- δεύτερος
ἐξελθόντων VB--AAPGPM ἔρχομαι ἐκ
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
λέγων V1--PAPNSM λέγω

Num 1:2
λάβετε VB--AAD2P- λαμβάνω
ἀρχὴν N1--ASF--- ἀρχή
πάσης A1S-GSF--- πᾶς
συναγωγῆς N1--GSF--- συναγωγή
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
κατὰ P--------- κατά
συγγενείας N1A-GSF--- συγγένεια
αὐτῶν RD--GPM--- αὐτός
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
ἐξ P--------- ἐκ
ὀνόματος N3M-GSN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
κεφαλὴν N1--ASF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
πᾶς A3--NSM--- πᾶς
ἄρσην A3--NSN--- ἄρσην

Num 1:3
ἀπὸ P--------- ἀπό
εἰκοσαετοῦς A3H-GSM--- εἰκοσαετής
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἐκπορευόμενος V1--PMPNSM πορεύομαι ἐκ
ἐν P--------- ἐν
δυνάμει N3I-DSF--- δύναμις
Ισραηλ N---DSM--- Ἰσραήλ
ἐπισκέψασθε VA--AMD2P- ἐπισκέπτω
αὐτοὺς RD--APM--- αὐτός
σὺν P--------- σύν
δυνάμει N3I-DSF--- δύναμις
αὐτῶν RD--GPM--- αὐτός
σὺ RP--NS---- σύ
καὶ C--------- καί
Ααρων N---NSM--- Ἀαρών
ἐπισκέψασθε VA--AMD2P- ἐπισκέπτω
αὐτούς RD--APM--- αὐτός

Num 1:4
καὶ C--------- καί
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
ἔσονται VF--FMI3P- εἰμί
ἕκαστος A1--NSM--- ἕκαστος
κατὰ P--------- κατά
φυλὴν N1--ASF--- φυλή
ἑκάστου A1--GSM--- ἕκαστος
ἀρχόντων N3--GPM--- ἄρχων
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
ἔσονται VF--FMI3P- εἰμί

Num 1:5
καὶ C--------- καί
ταῦτα RD--APN--- οὗτος
τὰ RA--APN--- ὁ
ὀνόματα N3M-APN--- ὄνομα
τῶν RA--GPM--- ὁ
ἀνδρῶν N3--GPM--- ἀνήρ
οἵτινες RX--NPM--- ὅστις
παραστήσονται VF--FMI3P- ἵστημι παρα
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
τῶν RA--GPM--- ὁ
Ρουβην N---GSM--- Ρουβην
Ελισουρ N---NSM--- Ελισουρ
υἱὸς N2--NSM--- υἱός
Σεδιουρ N---GSM--- Σεδιουρ

Num 1:6
τῶν RA--GPM--- ὁ
Συμεων N---GSM--- Συμεων
Σαλαμιηλ N---NSM--- Σαλαμιηλ
υἱὸς N2--NSM--- υἱός
Σουρισαδαι N---GSM--- Σουρισαδαι

Num 1:7
τῶν RA--GPM--- ὁ
Ιουδα N---GSM--- Ιουδα
Ναασσων N---NSM--- Ναασσων
υἱὸς N2--NSM--- υἱός
Αμιναδαβ N---GSM--- Αμιναδαβ

Num 1:8
τῶν RA--GPM--- ὁ
Ισσαχαρ N---GSM--- Ισσαχαρ
Ναθαναηλ N---NSM--- Ναθαναηλ
υἱὸς N2--NSM--- υἱός
Σωγαρ N---GSM--- Σωγαρ

Num 1:9
τῶν RA--GPM--- ὁ
Ζαβουλων N---GSM--- Ζαβουλων
Ελιαβ N---NSM--- Ελιαβ
υἱὸς N2--NSM--- υἱός
Χαιλων N---GSM--- Χαιλων

Num 1:10
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ιωσηφ N---GSM--- Ιωσηφ
τῶν RA--GPM--- ὁ
Εφραιμ N---GSM--- Ἐφράιμ
Ελισαμα N---NSM--- Ελισαμα
υἱὸς N2--NSM--- υἱός
Εμιουδ N---GSM--- Εμιουδ
τῶν RA--GPM--- ὁ
Μανασση N---GSM--- Μανασσή
Γαμαλιηλ N---NSM--- Γαμαλιηλ
υἱὸς N2--NSM--- υἱός
Φαδασσουρ N---GSM--- Φαδασσουρ

Num 1:11
τῶν RA--GPM--- ὁ
Βενιαμιν N---GSM--- Βενιαμίν
Αβιδαν N---NSM--- Αβιδαν
υἱὸς N2--NSM--- υἱός
Γαδεωνι N---GSM--- Γαδεωνι

Num 1:12
τῶν RA--GPM--- ὁ
Δαν N---GSM--- Δαν
Αχιεζερ N---NSM--- Αχιεζερ
υἱὸς N2--NSM--- υἱός
Αμισαδαι N---GSM--- Αμισαδαι

Num 1:13
τῶν RA--GPM--- ὁ
Ασηρ N---GSM--- Ασηρ
Φαγαιηλ N---NSM--- Φαγαιηλ
υἱὸς N2--NSM--- υἱός
Εχραν N---GSM--- Εχραν

Num 1:14
τῶν RA--GPM--- ὁ
Γαδ N---GSM--- Γαδ
Ελισαφ N---NSM--- Ελισαφ
υἱὸς N2--NSM--- υἱός
Ραγουηλ N---GSM--- Ραγουηλ

Num 1:15
τῶν RA--GPM--- ὁ
Νεφθαλι N---GSM--- Νεφθαλι
Αχιρε N---NSM--- Αχιρε
υἱὸς N2--NSM--- υἱός
Αιναν N---GSM--- Αιναν

Num 1:16
οὗτοι RD--NPM--- οὗτος
ἐπίκλητοι A1B-NPM--- ἐπίκλητος
τῆς RA--GSF--- ὁ
συναγωγῆς N1--GSF--- συναγωγή
ἄρχοντες N3--NPM--- ἄρχων
τῶν RA--GPF--- ὁ
φυλῶν N1--GPF--- φυλή
κατὰ P--------- κατά
πατριάς N1A-APF--- πατριά
χιλίαρχοι N2--NPM--- χιλίαρχος
Ισραηλ N---GSM--- Ἰσραήλ
εἰσίν V9--PAI3P- εἰμί

Num 1:17
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---NSM--- Ἀαρών
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
τούτους RD--APM--- οὗτος
τοὺς RA--APM--- ὁ
ἀνακληθέντας VC--APPAPM καλέω ἀνα
ἐξ P--------- ἐκ
ὀνόματος N3M-GSN--- ὄνομα

Num 1:18
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
συναγωγὴν N1--ASF--- συναγωγή
συνήγαγον VBI-AAI3P- ἄγω συν
ἐν P--------- ἐν
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τοῦ RA--GSM--- ὁ
δευτέρου A1A-GSN--- δεύτερος
ἔτους N3E-GSN--- ἔτος
καὶ C--------- καί
ἐπηξονοῦσαν VAI-AAI3P- ἐπαξονέω
κατὰ P--------- κατά
γενέσεις N3I-APF--- γένεσις
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
πατριὰς N1A-APF--- πατριά
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
ὀνομάτων N3M-GPN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
εἰκοσαετοῦς A3H-GSM--- εἰκοσαετής
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω
πᾶν A3--ASN--- πᾶς
ἀρσενικὸν A1--ASN--- ἀρσενικός
κατὰ P--------- κατά
κεφαλὴν N1--ASF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός

Num 1:19
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
συνέταξεν VAI-AAI3S- τάσσω συν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς
καὶ C--------- καί
ἐπεσκέπησαν VDI-API3P- ἐπισκέπτω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος
τῇ RA--DSF--- ὁ
Σινα N---DS---- Σινα

Num 1:20
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ρουβην N---GSM--- Ρουβην
πρωτοτόκου A1B-GSM--- πρωτότοκος
Ισραηλ N---GSM--- Ἰσραήλ
κατὰ P--------- κατά
συγγενείας N1A-GSF--- συγγένεια
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
ὀνομάτων N3M-GPN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
κεφαλὴν N1--ASF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
πάντα A3--APN--- πᾶς
ἀρσενικὰ A1--APN--- ἀρσενικός
ἀπὸ P--------- ἀπό
εἰκοσαετοῦς A3H-GSM--- εἰκοσαετής
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἐκπορευόμενος V1--PMPNSM πορεύομαι ἐκ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δυνάμει N3I-DSF--- δύναμις

Num 1:21
ἡ RA--NSF--- ὁ
ἐπίσκεψις N3I-NSF--- ἐπίσκεψις
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Ρουβην N---GSM--- Ρουβην
ἓξ M--------- ἕξ
καὶ C--------- καί
τεσσαράκοντα M--------- τεσσαράκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
πεντακόσιοι A1A-NPM--- πεντακόσιοι

Num 1:22
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Συμεων N---GSM--- Συμεων
κατὰ P--------- κατά
συγγενείας N1A-GSF--- συγγένεια
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
ὀνομάτων N3M-GPN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
κεφαλὴν N1--ASF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
πάντα A3--APN--- πᾶς
ἀρσενικὰ A1--APN--- ἀρσενικός
ἀπὸ P--------- ἀπό
εἰκοσαετοῦς A3H-GSM--- εἰκοσαετής
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἐκπορευόμενος V1--PMPNSM πορεύομαι ἐκ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δυνάμει N3I-DSF--- δύναμις

Num 1:23
ἡ RA--NSF--- ὁ
ἐπίσκεψις N3I-NSF--- ἐπίσκεψις
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Συμεων N---GSF--- Συμεων
ἐννέα M--------- ἐννέα
καὶ C--------- καί
πεντήκοντα M--------- πεντήκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
τριακόσιοι A1A-NPM--- τριακόσιοι

Num 1:24
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ιουδα N---GSM--- Ιουδα
κατὰ P--------- κατά
συγγενείας N1A-GSF--- συγγένεια
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
ὀνομάτων N3M-GPN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
κεφαλὴν N1--ASF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
πάντα A3--APN--- πᾶς
ἀρσενικὰ A1--APN--- ἀρσενικός
ἀπὸ P--------- ἀπό
εἰκοσαετοῦς A3H-GSM--- εἰκοσαετής
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἐκπορευόμενος V1--PMPNSM πορεύομαι ἐκ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δυνάμει N3I-DSF--- δύναμις

Num 1:25
ἡ RA--NSF--- ὁ
ἐπίσκεψις N3I-NSF--- ἐπίσκεψις
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Ιουδα N---GSM--- Ιουδα
τέσσαρες A3--NPM--- τέσσαρες
καὶ C--------- καί
ἑβδομήκοντα M--------- ἑβδομήκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι

Num 1:26
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισσαχαρ N---GSM--- Ισσαχαρ
κατὰ P--------- κατά
συγγενείας N1A-GSF--- συγγένεια
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
ὀνομάτων N3M-GPN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
κεφαλὴν N1--ASF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
πάντα A3--APN--- πᾶς
ἀρσενικὰ A1--APN--- ἀρσενικός
ἀπὸ P--------- ἀπό
εἰκοσαετοῦς A3H-GSM--- εἰκοσαετής
καὶ C--------- καί
