Jos 1:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μετὰ P--------- μετά
τὴν RA--ASF--- ὁ
τελευτὴν N1--ASF--- τελευτή
Μωυσῆ N1M-GSM--- Μωυσῆς
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Ἰησοῖ N---DSM--- Ἰησοῦς
υἱῷ N2--DSM--- υἱός
Ναυη N---GSM--- Ναυη
τῷ RA--DSM--- ὁ
ὑπουργῷ A1B-DSM--- ὑπουργός
Μωυσῆ N1M-GSM--- Μωυσῆς
λέγων V1--PAPNSM λέγω

Jos 1:2
Μωυσῆς N1M-NSM--- Μωυσῆς
ὁ RA--NSM--- ὁ
θεράπων N3--NSM--- θεράπων
μου RP--GS---- ἐγώ
τετελεύτηκεν VX--XAI3S- τελευτάω
νῦν D--------- νῦν
οὖν X--------- οὖν
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
διάβηθι VZ--AAD2S- βαίνω δια
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης
σὺ RP--NS---- σύ
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
οὗτος RD--NSM--- οὗτος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
ἐγὼ RP--NS---- ἐγώ
δίδωμι V8--PAI1S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός

Jos 1:3
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
ἐφ' P--------- ἐπί
ὃν RR--ASM--- ὅς
ἂν X--------- ἄν
ἐπιβῆτε VZ--AAS2P- βαίνω ἐπι
τῷ RA--DSN--- ὁ
ἴχνει N3E-DSN--- ἴχνος
τῶν RA--GPM--- ὁ
ποδῶν N3D-GPM--- πούς
ὑμῶν RP--GP---- σύ
ὑμῖν RP--DP---- σύ
δώσω VF--FAI1S- δίδωμι
αὐτόν RD--ASM--- αὐτός
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
εἴρηκα VX--XAI1S- εἶπον
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς

Jos 1:4
τὴν RA--ASF--- ὁ
ἔρημον N2--ASF--- ἔρημος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ἀντιλίβανον N2--ASM--- Ἀντιλίβανος
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας
ποταμοῦ N2--GSM--- ποταμός
Εὐφράτου N1M-GSM--- Εὐφράτης
καὶ C--------- καί
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
τῆς RA--GSF--- ὁ
ἐσχάτης A1--GSF--- ἔσχατος
