Rth 1:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
κρίνειν V1--PAN--- κρίνω
τοὺς RA--APM--- ὁ
κριτὰς N1M-APM--- κριτής
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λιμὸς N2--NSM--- λιμός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
ἀνὴρ N3--NSM--- ἀνήρ
ἀπὸ P--------- ἀπό
Βαιθλεεμ N---G----- Βαιθλεεμ
τῆς RA--GSF--- ὁ
Ιουδα N---GSF--- Ιουδα
τοῦ RA--GSN--- ὁ
παροικῆσαι VA--AAN--- οἰκέω παρα
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
Μωαβ N---G----- Μωαβ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός

Rth 1:2
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
τῷ RA--DSM--- ὁ
ἀνδρὶ N3--DSM--- ἀνήρ
Αβιμελεχ N---NSM--- Αβιμελεχ
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
τῇ RA--DSF--- ὁ
γυναικὶ N3K-DSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
Νωεμιν N---NSF--- Νωεμιν
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
τοῖς RA--DPM--- ὁ
δυσὶν M---DPM--- δύο
υἱοῖς N2--DPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
Μααλων N---NSM--- Μααλων
καὶ C--------- καί
Χελαιων N---NSM--- Χελαιων
Εφραθαῖοι N---NPM--- Εφραθαῖος
ἐκ P--------- ἐκ
Βαιθλεεμ N---GSF--- Βαιθλεεμ
τῆς RA--GSF--- ὁ
Ιουδα N---GSF--- Ιουδα
καὶ C--------- καί
ἤλθοσαν VBI-AAI3P- ἔρχομαι
εἰς P--------- εἰς
ἀγρὸν N2--ASM--- ἀγρός
Μωαβ N---GS---- Μωαβ
καὶ C--------- καί
ἦσαν V9--IAI3P- εἰμί
ἐκεῖ D--------- ἐκεῖ

Rth 1:3
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
Αβιμελεχ N---NSM--- Αβιμελεχ
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
τῆς RA--GSF--- ὁ
Νωεμιν N---GSF--- Νωεμιν
καὶ C--------- καί
κατελείφθη VVI-API3S- λείπω κατα
αὐτὴ RD--NSF--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
δύο M---NDM--- δύο
