1Sa 1:1
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἦν V9--IAI3S- εἰμί
ἐξ P--------- ἐκ
Αρμαθαιμ N---GS---- Αρμαθαιμ
Σιφα N---GSF--- Σιφ
ἐξ P--------- ἐκ
ὄρους N3E-GSN--- ὄρος
Εφραιμ N---GSM--- Ἐφράιμ
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
αὐτῷ RD--DSM--- αὐτός
Ελκανα N---NSM--- Ελκανα
υἱὸς N2--NSM--- υἱός
Ιερεμεηλ N---GSM--- Ιερεμεηλ
υἱοῦ N2--GSM--- υἱός
Ηλιου N1T-GSM--- Ηλιου
υἱοῦ N2--GSM--- υἱός
Θοκε N---GSM--- Θοκε
ἐν P--------- ἐν
Νασιβ N---DS---- Νασιβ
Εφραιμ N---GSM--- Ἐφράιμ

1Sa 1:2
καὶ C--------- καί
τούτῳ RD--DSM--- οὗτος
δύο M--------- δύο
γυναῖκες N3K-NPF--- γυνή
ὄνομα N3M-NSN--- ὄνομα
τῇ RA--DSF--- ὁ
μιᾷ A1A-DSF--- εἷς
Αννα N1A-NSF--- Αννα
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
Φεννανα N---NSF--- Φεννανα
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
τῇ RA--DSF--- ὁ
Φεννανα N---DSF--- Φεννανα
παιδία N2N-NPN--- παιδίον
καὶ C--------- καί
τῇ RA--DSF--- ὁ
Αννα N1A-DSF--- Αννα
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
παιδίον N2N-NSN--- παιδίον

1Sa 1:3
καὶ C--------- καί
ἀνέβαινεν V1I-IAI3S- βαίνω ἀνα
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐξ P--------- ἐκ
ἡμερῶν N1A-GPF--- ἡμέρα
εἰς P--------- εἰς
ἡμέρας N1A-GSF--- ἡμέρα
ἐκ P--------- ἐκ
πόλεως N3I-GSF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
ἐξ P--------- ἐκ
Αρμαθαιμ N---GS---- Αρμαθαιμ
προσκυνεῖν V2--PAN--- κυνέω προς
καὶ C--------- καί
θύειν V1--PAN--- θύω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
σαβαωθ N---DSM--- σαβαωθ
εἰς P--------- εἰς
Σηλω N---AS---- Σηλω
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
Ηλι N---NSM--- Ηλι
καὶ C--------- καί
οἱ RA--NPM--- ὁ
δύο M--------- δύο
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
Οφνι N---NSM--- Οφνι
