1Ki 1:1
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Δαυιδ N---NSM--- Δαυίδ
πρεσβύτερος N2--NSM--- πρεσβύτερος
προβεβηκὼς VX--XAPNSM βαίνω προ
ἡμέραις N1A-DPF--- ἡμέρα
καὶ C--------- καί
περιέβαλλον V1I-IAI3P- βάλλω περι
αὐτὸν RD--ASM--- αὐτός
ἱματίοις N2N-DPN--- ἱμάτιον
καὶ C--------- καί
οὐκ D--------- οὐ
ἐθερμαίνετο V1I-IMI3S- θερμαίνω

1Ki 1:2
καὶ C--------- καί
εἶπον VBI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
ζητησάτωσαν VA--AAD3P- ζητέω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἡμῶν RP--GP---- ἐγώ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
παρθένον N2--ASF--- παρθένος
νεάνιδα N3D-ASF--- νεᾶνις
καὶ C--------- καί
παραστήσεται VF--FMI3S- ἵστημι παρα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
αὐτὸν RD--ASM--- αὐτός
θάλπουσα VA--AAPNSF θάλπω
καὶ C--------- καί
κοιμηθήσεται VC--FPI3S- κοιμάω
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
θερμανθήσεται VC--FPI3S- θερμαίνω
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἡμῶν RP--GP---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς

1Ki 1:3
καὶ C--------- καί
ἐζήτησαν VAI-AAI3P- ζητέω
νεάνιδα N3D-ASF--- νεᾶνις
καλὴν A1--ASF--- καλός
ἐκ P--------- ἐκ
παντὸς A3--GSN--- πᾶς
ὁρίου N2N-GSN--- ὅριον
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εὗρον VB--AAI3P- εὑρίσκω
τὴν RA--ASF--- ὁ
Αβισακ N---ASF--- Αβισακ
τὴν RA--ASF--- ὁ
Σωμανῖτιν N3I-ASF--- Σωμανῖτις
καὶ C--------- καί
ἤνεγκαν VAI-AAI3P- φέρω
αὐτὴν RD--ASF--- αὐτός
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς

1Ki 1:4
καὶ C--------- καί
ἡ RA--NSF--- ὁ
νεᾶνις N3D-NSF--- νεᾶνις
καλὴ A1--NSF--- καλός
ἕως P--------- ἕως
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
θάλπουσα V1--PAPNSF θάλπω
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ἐλειτούργει V2I-IAI3S- λειτουργέω
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
αὐτήν RD--ASF--- αὐτός

1Ki 1:5
καὶ C--------- καί
Αδωνιας N1T-NSM--- Αδωνίας
υἱὸς N2--NSM--- υἱός
Αγγιθ N---GSM--- Αγγιθ
ἐπῄρετο V1I-IMI3S- αἴρω ἐπι
λέγων V1--PAPNSM λέγω
ἐγὼ RP--NS---- ἐγώ
βασιλεύσω VF--FAI1S- βασιλεύω
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ἅρματα N3M-APN--- ἅρμα
καὶ C--------- καί
ἱππεῖς N3V-APM--- ἱππεύς
καὶ C--------- καί
πεντήκοντα M--------- πεντήκοντα
ἄνδρας N3--APM--- ἀνήρ
παρατρέχειν V1--PAN--- τρέχω παρα
ἔμπροσθεν P--------- ἔμπροσθεν
αὐτοῦ RD--GSM--- αὐτός

1Ki 1:6
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπεκώλυσεν VAI-AAI3S- κωλύω ἀπο
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
οὐδέποτε D--------- οὐδέποτε
λέγων V1--PAPNSM λέγω
διὰ P--------- διά
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
καί C--------- καί
γε X--------- γέ
αὐτὸς RD--NSM--- αὐτός
ὡραῖος A1A-NSM--- ὡραῖος
τῇ RA--DSF--- ὁ
ὄψει N3I-DSF--- ὄψις
σφόδρα D--------- σφόδρα
καὶ C--------- καί
αὐτὸν RD--ASM--- αὐτός
ἔτεκεν VBI-AAI3S- τίκτω
ὀπίσω P--------- ὀπίσω
Αβεσσαλωμ N---GSM--- Αβεσσαλωμ

1Ki 1:7
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
μετὰ P--------- μετά
Ιωαβ N---GSM--- Ιωαβ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
Σαρουιας N---GSM--- Σαρουια
καὶ C--------- καί
μετὰ P--------- μετά
Αβιαθαρ N---GSM--- Αβιαθαρ
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
καὶ C--------- καί
ἐβοήθουν V2I-IAI3P- βοηθέω
ὀπίσω P--------- ὀπίσω
Αδωνιου N1T-GSM--- Αδωνίας

1Ki 1:8
καὶ C--------- καί
Σαδωκ N---NSM--- Σαδωκ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
Βαναιας N---NSM--- Βαναιας
υἱὸς N2--NSM--- υἱός
Ιωδαε N---GSM--- Ιωδαε
καὶ C--------- καί
Ναθαν N---NSM--- Ναθαν
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
καὶ C--------- καί
Σεμεϊ N---NSM--- Σεμεϊ
καὶ C--------- καί
Ρηι N---NSM--- Ρηι
καὶ C--------- καί
οἱ RA--NPM--- ὁ
δυνατοὶ A1--NPM--- δυνατός
τοῦ RA--GSM--- ὁ
Δαυιδ N---GSM--- Δαυίδ
οὐκ D--------- οὐ
ἦσαν V9--IAI3P- εἰμί
ὀπίσω P--------- ὀπίσω
Αδωνιου N1T-GSM--- Αδωνίας

1Ki 1:9
καὶ C--------- καί
ἐθυσίασεν VAI-AAI3S- θυσιάζω
Αδωνιας N1T-NSM--- Αδωνίας
πρόβατα N2N-APN--- πρόβατον
καὶ C--------- καί
μόσχους N2--APM--- μόσχος
καὶ C--------- καί
ἄρνας N3--APM--- ἀρνός
μετὰ P--------- μετά
λίθου N2--GSM--- λίθος
τοῦ RA--GSM--- ὁ
Ζωελεθ N---GSM--- Ζωελεθ
ὃς RR--NSM--- ὅς
ἦν V9--IAI3S- εἰμί
ἐχόμενα V1--PMPAPN ἔχω
τῆς RA--GSF--- ὁ
πηγῆς N1--GSF--- πηγή
Ρωγηλ N---GS---- Ρωγηλ
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἁδροὺς A1A-APM--- ἁδρός
Ιουδα N---GSM--- Ιουδα
παῖδας N3D-APM--- παῖς
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

1Ki 1:10
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ναθαν N---ASM--- Ναθαν
τὸν RA--ASM--- ὁ
προφήτην N1M-ASM--- προφήτης
καὶ C--------- καί
Βαναιαν N---ASM--- Βαναιας
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δυνατοὺς A1--APM--- δυνατός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Σαλωμων N---ASM--- Σαλωμών
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
οὐκ D--------- οὐ
ἐκάλεσεν VAI-AAI3S- καλέω

1Ki 1:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ναθαν N---NSM--- Ναθαν
πρὸς P--------- πρός
Βηρσαβεε N---ASF--- Βηρσαβεε
μητέρα N3--ASF--- μήτηρ
Σαλωμων N---GSM--- Σαλωμών
λέγων V1--PAPNSM λέγω
οὐκ D--------- οὐ
ἤκουσας VAI-AAI2S- ἀκούω
ὅτι C--------- ὅτι
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Αδωνιας N1T-NSM--- Αδωνίας
υἱὸς N2--NSM--- υἱός
Αγγιθ N---GSM--- Αγγιθ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἡμῶν RP--GP---- ἐγώ
Δαυιδ N---NSM--- Δαυίδ
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω

1Ki 1:12
καὶ C--------- καί
νῦν D--------- νῦν
δεῦρο D--------- δεῦρο
συμβουλεύσω VF--FAI1S- βουλεύω συν
σοι RP--DS---- σύ
δὴ X--------- δή
συμβουλίαν N1A-ASF--- συμβουλία
καὶ C--------- καί
ἐξελοῦ VB--AMD2S- αἱρέω ἐκ
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
σου RP--GS---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ψυχὴν N1--ASF--- ψυχή
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
σου RP--GS---- σύ
Σαλωμων N---GSM--- Σαλωμών

1Ki 1:13
δεῦρο D--------- δεῦρο
εἴσελθε VB--AAD2S- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Δαυιδ N---ASM--- Δαυίδ
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
λέγουσα V1--PAPNSF λέγω
οὐχὶ D--------- οὐ
σύ RP--NS---- σύ
κύριέ N2--VSM--- κύριος
μου RP--GS---- ἐγώ
βασιλεῦ N3V-VSM--- βασιλεύς
ὤμοσας VAI-AAI2S- ὄμνυμι
τῇ RA--DSF--- ὁ
δούλῃ N1--DSF--- δούλη
σου RP--GS---- σύ
λέγων V1--PAPNSM λέγω
ὅτι C--------- ὅτι
Σαλωμων N---NSM--- Σαλωμών
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
σου RP--GS---- σύ
βασιλεύσει VF--FAI3S- βασιλεύω
μετ' P--------- μετά
ἐμὲ RP--AS---- ἐγώ
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
καθιεῖται VF2-FMI3S- ἵζω κατα
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
μου RP--GS---- ἐγώ
καὶ C--------- καί
τί RI--ASN--- τίς
ὅτι C--------- ὅτι
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Αδωνιας N1T-NSM--- Αδωνίας

1Ki 1:14
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἔτι D--------- ἔτι
λαλούσης V2--PAPGSF λαλέω
σου RP--GS---- σύ
ἐκεῖ D--------- ἐκεῖ
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
εἰσελεύσομαι VF--FMI1S- ἔρχομαι εἰς
ὀπίσω P--------- ὀπίσω
σου RP--GS---- σύ
καὶ C--------- καί
πληρώσω VA--AAS1S- πληρόω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
σου RP--GS---- σύ

1Ki 1:15
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Βηρσαβεε N---NSF--- Βηρσαβεε
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ταμίειον N2N-ASN--- ταμιεῖον
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πρεσβύτης N1M-NSM--- πρεσβύτης
σφόδρα D--------- σφόδρα
καὶ C--------- καί
Αβισακ N---NSF--- Αβισακ
ἡ RA--NSF--- ὁ
Σωμανῖτις N3I-NSF--- Σωμανῖτις
ἦν V9--IAI3S- εἰμί
λειτουργοῦσα V2--PAPNSF λειτουργέω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

1Ki 1:16
καὶ C--------- καί
ἔκυψεν VAI-AAI3S- κύπτω
Βηρσαβεε N---NSF--- Βηρσαβεε
καὶ C--------- καί
προσεκύνησεν VAI-AAI3S- κυνέω προς
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
τί RI--NSN--- τίς
ἐστίν V9--PAI3S- εἰμί
σοι RP--DS---- σύ

1Ki 1:17
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
κύριέ N2--VSM--- κύριος
μου RP--GS---- ἐγώ
βασιλεῦ N3V-VSM--- βασιλεύς
σὺ RP--NS---- σύ
ὤμοσας VAI-AAI2S- ὄμνυμι
ἐν P--------- ἐν
κυρίῳ N2--DSM--- κύριος
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
σου RP--GS---- σύ
τῇ RA--DSF--- ὁ
δούλῃ N1--DSF--- δούλη
σου RP--GS---- σύ
λέγων V1--PAPNSM λέγω
ὅτι C--------- ὅτι
Σαλωμων N---NSM--- Σαλωμών
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
σου RP--GS---- σύ
βασιλεύσει VF--FAI3S- βασιλεύω
μετ' P--------- μετά
ἐμὲ RP--AS---- ἐγώ
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
καθήσεται VF--FMI3S- ἵημι κατα
ἐπὶ P--------- ἐπί
