2Ch 1:1
καὶ C--------- καί
ἐνίσχυσεν VAI-AAI3S- ἰσχύω ἐν
Σαλωμων N---NSM--- Σαλωμών
υἱὸς N2--NSM--- υἱός
Δαυιδ N---GSM--- Δαυίδ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐμεγάλυνεν VAI-AAI3S- μεγαλύνω
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
ὕψος N3E-ASN--- ὕψος

2Ch 1:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαλωμων N---NSM--- Σαλωμών
πρὸς P--------- πρός
πάντα A3--ASM--- πᾶς
Ισραηλ N---ASM--- Ἰσραήλ
τοῖς RA--DPM--- ὁ
χιλιάρχοις N2--DPM--- χιλίαρχος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἑκατοντάρχοις N2--DPM--- ἑκατόνταρχος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
κριταῖς N1M-DPM--- κριτής
καὶ C--------- καί
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
ἄρχουσιν N3--DPM--- ἄρχων
ἐναντίον P--------- ἐναντίον
Ισραηλ N---GSM--- Ἰσραήλ
τοῖς RA--DPM--- ὁ
ἄρχουσι N3--DPM--- ἄρχων
τῶν RA--GPF--- ὁ
πατριῶν N1A-GPF--- πατριά

2Ch 1:3
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
Σαλωμων N---NSM--- Σαλωμών
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
ἐκκλησία N1A-NSF--- ἐκκλησία
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὑψηλὴν A1--ASF--- ὑψηλός
τὴν RA--ASF--- ὁ
ἐν P--------- ἐν
Γαβαων N---DS---- Γαβαων
οὗ RR--GSM--- ὅς
ἐκεῖ D--------- ἐκεῖ
ἦν V9--IAI3S- εἰμί
ἡ RA--NSF--- ὁ
σκηνὴ N1--NSF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἣν RR--ASF--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
Μωυσῆς N1M-NSM--- Μωυσῆς
παῖς N3D-NSM--- παῖς
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἐρῆμος

2Ch 1:4
ἀλλὰ C--------- ἀλλά
κιβωτὸν N2--ASF--- κιβωτός
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἀνήνεγκεν VAI-AAI3S- φέρω ἀνα
Δαυιδ N---NSM--- Δαυίδ
ἐκ P--------- ἐκ
πόλεως N3I-GSF--- πόλις
Καριαθιαριμ N---GP---- Καριαθιαριμ
ὅτι C--------- ὅτι
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
αὐτῇ RD--DSF--- αὐτός
σκηνὴν N1--ASF--- σκηνή
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ

2Ch 1:5
καὶ C--------- καί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
τὸ RA--ASN--- ὁ
χαλκοῦν A1C-ASN--- χαλκοῦς
ὃ RR--NSM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
Βεσελεηλ N---NSM--- Βεσελεηλ
υἱὸς N2--NSM--- υἱός
Ουριου N1T-GSM--- Ουριας
υἱοῦ N2--GSM--- υἱός
Ωρ N---GSM--- Ωρ
ἐκεῖ D--------- ἐκεῖ
ἦν V9--IAI3S- εἰμί
ἔναντι D--------- ἔναντι
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐξεζήτησεν VAI-AAI3S- ζητέω ἐκ
αὐτὸ RD--ASN--- αὐτός
Σαλωμων N---NSM--- Σαλωμών
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἐκκλησία N1A-NSF--- ἐκκλησία

2Ch 1:6
καὶ C--------- καί
ἀνήνεγκεν VAI-AAI3S- φέρω ἀνα
ἐκεῖ D--------- ἐκεῖ
Σαλωμων N---NSM--- Σαλωμών
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
τὸ RA--ASN--- ὁ
χαλκοῦν A1C-ASN--- χαλκοῦς
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
τὸ RA--ASN--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
καὶ C--------- καί
ἀνήνεγκεν VAI-AAI3S- φέρω ἀνα
ἐπ' P--------- ἐπί
αὐτὸ RD--ASN--- αὐτός
ὁλοκαύτωσιν N3I-ASF--- ὁλοκαύτωσις
χιλίαν A1A-ASF--- χίλιοι

2Ch 1:7
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
ἐκείνῃ RD--DSF--- ἐκεῖνος
ὤφθη VVI-API3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Σαλωμων N---DSM--- Σαλωμών
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
αἴτησαι VA--AAN--- αἰτέω
τί RI--ASN--- τίς
σοι RP--DS---- σύ
δῶ VO--AAS1S- δίδωμι

2Ch 1:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαλωμων N---NSM--- Σαλωμών
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
μετὰ P--------- μετά
Δαυιδ N---GSM--- Δαυίδ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
ἔλεος N3E-ASN--- ἔλεος
μέγα A1P-ASN--- μέγας
καὶ C--------- καί
ἐβασίλευσάς VAI-AAI2S- βασιλεύω
με RP--AS---- ἐγώ
ἀντ' P--------- ἀντί
αὐτοῦ RD--GSM--- αὐτός

2Ch 1:9
καὶ C--------- καί
νῦν D--------- νῦν
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
πιστωθήτω VA--APD3S- πιστόω
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
