Ezr 1:1
καὶ C--------- καί
ἤγαγεν VBI-AAI3S- ἄγω
Ιωσιας N1T-NSM--- Ιωσίας
τὸ RA--ASN--- ὁ
πασχα N---ASN--- πασχα
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔθυσεν VAI-AAI3S- θύω
τὸ RA--ASN--- ὁ
πασχα N---ASN--- πασχα
τῇ RA--DSF--- ὁ
τεσσαρεσκαιδεκάτῃ A1--DSF--- τεσσαρεσκαιδέκατος
ἡμέρᾳ N1A-DSF--- ἡμέρα
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τοῦ RA--GSM--- ὁ
πρώτου A1--GSM--- πρῶτος

Ezr 1:2
στήσας VA--AAPNSM ἵστημι
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-APM--- ἱερεύς
κατ' P--------- κατά
ἐφημερίας N1A-GSF--- ἐφημερία
ἐστολισμένους VA--AMPAPM στολίζω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἱερῷ A1A-DSN--- ἱερός
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος

Ezr 1:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
Λευίταις N1M-DPM--- Λευείτης
ἱεροδούλοις N2--DPM--- ἱερόδουλος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἁγιάσαι VA--AAN--- ἁγιάζω
ἑαυτοὺς RD--APM--- ἑαυτοῦ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
θέσει N3I-DSF--- θέσις
τῆς RA--GSF--- ὁ
ἁγίας A1A-GSF--- ἅγιος
κιβωτοῦ N2--GSF--- κιβωτός
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
ᾧ RR--DSM--- ὅς
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
Σαλωμων N---NSM--- Σαλωμών
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Δαυιδ N---GSM--- Δαυίδ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ὑμῖν RP--DP---- σύ
ἆραι VA--AAN--- αἴρω
ἐπ' P--------- ἐπί
ὤμων N2--GPM--- ὦμος
αὐτήν RD--ASF--- αὐτός

Ezr 1:4
καὶ C--------- καί
νῦν D--------- νῦν
λατρεύετε V1--PAD2P- λατρεύω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
θεραπεύετε V1--PAD2P- θεραπεύω
τὸ RA--ASN--- ὁ
ἔθνος N3E-ASN--- ἔθνος
αὐτοῦ RD--GSM--- αὐτός
Ισραηλ N---ASM--- Ἰσραήλ
καὶ C--------- καί
ἑτοιμάσατε VA--AAD2P- ἑτοιμάζω
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
πατριὰς N1A-APF--- πατριά
καὶ C--------- καί
τὰς RA--APF--- ὁ
φυλὰς N1--APF--- φυλή
ὑμῶν RP--GP---- σύ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
γραφὴν N1--ASF--- γραφή
Δαυιδ N---GSM--- Δαυίδ
βασιλέως N3V-GSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
μεγαλειότητα N3T-ASF--- μεγαλειότης
Σαλωμων N---GSM--- Σαλωμών
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός

Ezr 1:5
καὶ C--------- καί
στάντες VH--AAPNPM ἵστημι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἱερῷ A1A-DSN--- ἱερός
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
μεριδαρχίαν N1A-ASF--- μεριδαρχία
τὴν RA--ASF--- ὁ
πατρικὴν A1--ASF--- πατρικός
ὑμῶν RP--GP---- σύ
τῶν RA--GPM--- ὁ
Λευιτῶν N1M-GPM--- Λευείτης
τῶν RA--GPM--- ὁ
ἔμπροσθεν P--------- ἔμπροσθεν
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
ὑμῶν RP--GP---- σύ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
τάξει N3I-DSF--- τάξις

Ezr 1:6
θύσατε VA--AAD2P- θύω
τὸ RA--ASN--- ὁ
πασχα N---ASN--- πασχα
καὶ C--------- καί
τὰς RA--APF--- ὁ
θυσίας N1A-APF--- θυσία
ἑτοιμάσατε VA--AAD2P- ἑτοιμάζω
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ποιήσατε VA--AAD2P- ποιέω
τὸ RA--ASN--- ὁ
πασχα N---ASN--- πασχα
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
τὸ RA--ASN--- ὁ
δοθὲν VC--APPASN δίδωμι
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς

Ezr 1:7
καὶ C--------- καί
ἐδωρήσατο VAI-AMI3S- δωρέω
Ιωσιας N1T-NSM--- Ιωσίας
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τῷ RA--DSM--- ὁ
εὑρεθέντι VC--APPDSM εὑρίσκω
ἀρνῶν N2--GPM--- ἀρνός
καὶ C--------- καί
ἐρίφων N2--GPM--- ἔριφος
τριάκοντα M--------- τριάκοντα
χιλιάδας N3D-APF--- χιλίας
μόσχους N2--APM--- μόσχος
τρισχιλίους A1A-APM--- τρισχίλιοι
ταῦτα RD--NPN--- οὗτος
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
βασιλικῶν A1--GPN--- βασιλικός
ἐδόθη VCI-API3S- δίδωμι
κατ' P--------- κατά
ἐπαγγελίαν N1A-ASF--- ἐπαγγελία
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
καὶ C--------- καί
Λευίταις N1M-DPM--- Λευείτης

Ezr 1:8
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
Χελκιας N1T-NSM--- Χελκιας
καὶ C--------- καί
Ζαχαριας N1T-NSM--- Ζαχαριας
καὶ C--------- καί
Ησυηλος N---NSM--- Ησυηλος
οἱ RA--NPM--- ὁ
ἐπιστάται N1M-NPM--- ἐπιστάτης
τοῦ RA--GSN--- ὁ
ἱεροῦ A1A-GSN--- ἱερός
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
εἰς P--------- εἰς
πασχα N---ASN--- πασχα
πρόβατα N2N-APN--- πρόβατον
δισχίλια A1A-APN--- δισχίλιοι
ἑξακόσια A1A-APN--- ἑξακόσιοι
μόσχους N2--APM--- μόσχος
τριακοσίους A1A-APM--- τριακόσιοι

Ezr 1:9
καὶ C--------- καί
Ιεχονιας N1T-NSM--- Ιεχονιας
καὶ C--------- καί
Σαμαιας N1T-NSM--- Σαμαιας
καὶ C--------- καί
Ναθαναηλ N---NSM--- Ναθαναηλ
ὁ RA--NSM--- ὁ
ἀδελφὸς N2--NSM--- ἀδελφός
καὶ C--------- καί
Ασαβιας N1T-NSM--- Ασαβιας
καὶ C--------- καί
Οχιηλος N---NSM--- Οχιηλος
καὶ C--------- καί
Ιωραμ N---NSM--- Ιωραμ
χιλίαρχοι N2--NPM--- χιλίαρχος
ἔδωκαν VAI-AAI3P- δίδωμι
τοῖς RA--DPM--- ὁ
Λευίταις N1M-DPM--- Λευείτης
εἰς P--------- εἰς
πασχα N---ASN--- πασχα
πρόβατα N2N-APN--- πρόβατον
πεντακισχίλια A1--APM--- πεντακισχίλιοι
μόσχους N2--APM--- μόσχος
ἑπτακοσίους A1--APM--- ἑπτακόσιοι

Ezr 1:10
καὶ C--------- καί
ταῦτα RD--NPN--- οὗτος
τὰ RA--NPN--- ὁ
γενόμενα VB--AMPNPN γίγνομαι
εὐπρεπῶς D--------- εὐπρεπῶς
ἔστησαν VAI-AAI3P- ἵστημι
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευείτης

Ezr 1:11
ἔχοντες V1--PAPNPM ἔχω
τὰ RA--APN--- ὁ
ἄζυμα A1B-APN--- ἄζυμος
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
φυλὰς N1--APF--- φυλή

Ezr 1:12
καὶ C--------- καί
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
μεριδαρχίας N1A-APF--- μεριδαρχία
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ἔμπροσθεν P--------- ἔμπροσθεν
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
προσενεγκεῖν VB--AAN--- φέρω προς
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
γεγραμμένα VP--XMPAPN γράφω
ἐν P--------- ἐν
βιβλίῳ N2N-DSN--- βιβλίον
Μωυσῆ N1M-GSM--- Μωυσῆς
καὶ C--------- καί
οὕτω D--------- οὕτως
