Est 1:1a
ἔτους N3E-GSN--- ἔτος
δευτέρου A1A-GSN--- δεύτερος
βασιλεύοντος V1--PAPGSM βασιλεύω
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας
τῇ RA--DSF--- ὁ
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
Νισα N---GSM--- Νισα
ἐνύπνιον N2N-ASN--- ἐνύπνιον
εἶδεν VBI-AAI3S- ὁράω
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ιαϊρου N2--GSM--- Ιαϊρος
τοῦ RA--GSM--- ὁ
Σεμεϊου N1M-GSM--- Σεμεϊας
τοῦ RA--GSM--- ὁ
Κισαιου N1M-GSM--- Κισαιας
ἐκ P--------- ἐκ
φυλῆς N1--GSF--- φυλή
Βενιαμιν N---GSM--- Βενιαμίν

Est 1:1b
ἄνθρωπος N2--NSM--- ἄνθρωπος
Ιουδαῖος N2--NSM--- Ἰουδαῖος
οἰκῶν V2--PAPNSM οἰκέω
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
ἄνθρωπος N2--NSM--- ἄνθρωπος
μέγας A1P-NSM--- μέγας
θεραπεύων V1--PAPNSM θεραπεύω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Est 1:1c
ἦν V9--IAI3S- εἰμί
δὲ X--------- δέ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
ἧς RR--GSF--- ὅς
ᾐχμαλώτευσεν VAI-AAI3S- αἰχμαλωτεύω
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSM--- Βαβυλών
ἐξ P--------- ἐκ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
μετὰ P--------- μετά
Ιεχονιου N---GSM--- Ιεχονιας
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία

Est 1:1d
καὶ C--------- καί
τοῦτο RD--NSN--- οὗτος
αὐτοῦ RD--GSM--- αὐτός
τὸ RA--NSN--- ὁ
ἐνύπνιον N2N-NSN--- ἐνύπνιον
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
φωναὶ N1--NPF--- φωνή
καὶ C--------- καί
θόρυβος N2--NSM--- θόρυβος
βρονταὶ N1--NPF--- βροντή
καὶ C--------- καί
σεισμός N2--NSM--- σεισμός
τάραχος N2--NSM--- τάραχος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Est 1:1e
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
δύο M--------- δύο
δράκοντες N3--NPM--- δράκων
μεγάλοι A1--NPM--- μέγας
ἕτοιμοι A1--NPM--- ἕτοιμος
προῆλθον VBI-AAI3P- ἔρχομαι προ
ἀμφότεροι A1A-NPM--- ἀμφότεροι
παλαίειν VB--AAN--- παλαίω
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
αὐτῶν RD--GPM--- αὐτός
φωνὴ N1--NSF--- φωνή
μεγάλη A1--NSF--- μέγας

Est 1:1f
καὶ C--------- καί
τῇ RA--DSF--- ὁ
φωνῇ N1--DSF--- φωνή
αὐτῶν RD--GPM--- αὐτός
ἡτοιμάσθη VCI-API3S- ἑτοιμάζω
πᾶν A3--NSN--- πᾶς
ἔθνος N3E-NSN--- ἔθνος
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
ὥστε C--------- ὥστε
πολεμῆσαι VA--AAN--- πολεμέω
δικαίων A1A-GPM--- δίκαιος
ἔθνος N3E-ASN--- ἔθνος

Est 1:1g
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἡμέρα N1A-NSF--- ἡμέρα
σκότους N3E-GSN--- σκότος
καὶ C--------- καί
γνόφου N2--GSM--- γνόφος
θλῖψις N3I-NSF--- θλῖψις
καὶ C--------- καί
στενοχωρία N1A-NSF--- στενοχωρία
κάκωσις N3I-NSF--- κάκωσις
καὶ C--------- καί
τάραχος N2--NSM--- τάραχος
μέγας A1P-NSM--- μέγας
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Est 1:1h
καὶ C--------- καί
ἐταράχθη VQI-API3S- ταράσσω
δίκαιον A1A-NSN--- δίκαιος
πᾶν A3--NSN--- πᾶς
ἔθνος N3E-NSN--- ἔθνος
φοβούμενοι V2--PMPNPM φοβέω
τὰ RA--APN--- ὁ
ἑαυτῶν RD--GPM--- ἑαυτοῦ
κακὰ A1--APN--- κακός
καὶ C--------- καί
ἡτοιμάσθησαν VCI-API3P- ἑτοιμάζω
ἀπολέσθαι VA--AMN--- ὀλλύω ἀπο
καὶ C--------- καί
ἐβόησαν VAI-AAI3P- βοάω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός

Est 1:1i
ἀπὸ P--------- ἀπό
δὲ X--------- δέ
τῆς RA--GSF--- ὁ
βοῆς N1--GSF--- βοή
αὐτῶν RD--GPM--- αὐτός
ἐγένετο VBI-AMI3S- γίγνομαι
ὡσανεὶ D--------- ὡσανεί
ἀπὸ P--------- ἀπό
μικρᾶς A1A-GSF--- μικρός
πηγῆς N1--GSF--- πηγή
ποταμὸς N2--NSM--- ποταμός
μέγας A1P-NSM--- μέγας
ὕδωρ N3--NSN--- ὕδωρ
πολύ A1P-NSN--- πολύς

Est 1:1k
φῶς N3T-NSN--- φῶς
καὶ C--------- καί
ὁ RA--NSM--- ὁ
