Jdt 1:1
ἔτους N3E-GSN--- ἔτος
δωδεκάτου A1--GSN--- δωδέκατος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
ὃς RR--NSM--- ὅς
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Ἀσσυρίων N2--GPM--- Ἀσσύριος
ἐν P--------- ἐν
Νινευη N---DS---- Νινευη
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
τῇ RA--DSF--- ὁ
μεγάλῃ A1--DSF--- μέγας
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Αρφαξαδ N---NSM--- Αρφαξαδ
ὃς RR--NSM--- ὅς
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Μήδων N2--GPM--- Μῆδος
ἐν P--------- ἐν
Ἐκβατάνοις N---DP---- Ἐκβάτανα

Jdt 1:2
καὶ C--------- καί
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
ἐπ' P--------- ἐπί
Ἐκβατάνων N2--GP---- Ἐκβάτανα
κύκλῳ N2--DSM--- κύκλος
τείχη N3E-APN--- τεῖχος
ἐκ P--------- ἐκ
λίθων N2--GPM--- λίθος
λελαξευμένων VM--XMPGPM λαξεύω
εἰς P--------- εἰς
πλάτος N3E-ASN--- πλάτος
πηχῶν N3E-GPM--- πῆχυς
τριῶν A3--GPM--- τρεῖς
καὶ C--------- καί
εἰς P--------- εἰς
μῆκος N3E-ASN--- μῆκος
πηχῶν N3E-GPM--- πῆχυς
ἓξ M--------- ἕξ
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
τὸ RA--ASN--- ὁ
ὕψος N3E-ASN--- ὕψος
τοῦ RA--GSN--- ὁ
τείχους N3E-GSN--- τεῖχος
πηχῶν N3E-GPM--- πῆχυς
ἑβδομήκοντα M--------- ἑβδομήκοντα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
αὐτοῦ RD--GSN--- αὐτός
πηχῶν N3E-GPM--- πῆχυς
πεντήκοντα M--------- πεντήκοντα

Jdt 1:3
καὶ C--------- καί
τοὺς RA--APM--- ὁ
πύργους N2--APM--- πύργος
αὐτοῦ RD--GSN--- αὐτός
ἔστησεν VAI-AAI3S- ἵστημι
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
πύλαις N1--DPF--- πύλη
αὐτῆς RD--GSF--- αὐτός
πηχῶν N3E-GPM--- πῆχυς
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
αὐτῆς RD--GSF--- αὐτός
ἐθεμελίωσεν VAI-AAI3S- θεμελιόω
εἰς P--------- εἰς
πήχεις N3E-APM--- πῆχυς
ἑξήκοντα M--------- ἑξήκοντα

Jdt 1:4
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
τὰς RA--APF--- ὁ
πύλας N1--APF--- πύλη
αὐτῆς RD--GSF--- αὐτός
πύλας N1--APF--- πύλη
διεγειρομένας V1--PMPAPF ἐγείρω δια
εἰς P--------- εἰς
ὕψος N3E-ASN--- ὕψος
πηχῶν N3E-GPM--- πῆχυς
ἑβδομήκοντα M--------- ἑβδομήκοντα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
αὐτῆς RD--GSF--- αὐτός
πήχεις N3E-APM--- πῆχυς
τεσσαράκοντα M--------- τεσσαράκοντα
εἰς P--------- εἰς
ἐξόδους N2--APF--- ἔξοδος
δυνάμεως N3I-GSF--- δύναμις
δυνατῶν A1--GPM--- δυνατός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
διατάξεις N3I-APF--- διάταξις
τῶν RA--GPM--- ὁ
πεζῶν A1--GPM--- πεζός
αὐτοῦ RD--GSM--- αὐτός

Jdt 1:5
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
πόλεμον N2--ASM--- πόλεμος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
πρὸς P--------- πρός
βασιλέα N3V-ASM--- βασιλεύς
Αρφαξαδ N---ASM--- Αρφαξαδ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
τῷ RA--DSN--- ὁ
μεγάλῳ A1--DSN--- μέγας
τοῦτό RD--NSN--- οὗτος
ἐστιν V9--PAI3S- εἰμί
πεδίον N2N-NSN--- πεδίον
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὁρίοις N2N-DPN--- ὅριον
Ραγαυ N---GS---- Ραγαυ

Jdt 1:6
καὶ C--------- καί
συνήντησαν VAI-AAI3P- ἀντάω συν
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
τὴν RA--ASF--- ὁ
ὀρεινὴν N1--ASF--- ὀρεινή
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
τὸν RA--ASM--- ὁ
Εὐφράτην N1M-ASM--- Εὐφράτης
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Τίγριν N---ASM--- Τίγρις
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ὑδάσπην N1M-ASM--- Ὑδάσπης
καὶ C--------- καί
πεδία N2N-APN--- πεδίον
Αριωχ N---GSM--- Αριωχ
βασιλέως N3V-GSM--- βασιλεύς
Ἐλυμαίων N2--GPM--- Ἐλυμαῖος
καὶ C--------- καί
συνῆλθον VBI-AAI3P- ἔρχομαι συν
ἔθνη N3E-NPN--- ἔθνος
πολλὰ A1--NPN--- πολύς
εἰς P--------- εἰς
παράταξιν N3I-ASF--- παράταξις
υἱῶν N2--GPM--- υἱός
Χελεουδ N---GSM--- Χελεουδ

Jdt 1:7
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀσσυρίων N2--GPM--- Ἀσσύριος
ἐπὶ P--------- ἐπί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
Περσίδα N3D-ASF--- Περσίς
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
πρὸς P--------- πρός
δυσμαῖς N1--DPF--- δυσμή
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
Κιλικίαν N1A-ASF--- Κιλικία
καὶ C--------- καί
Δαμασκὸν N2--ASM--- Δαμασκός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Λίβανον N2--ASM--- Λίβανος
καὶ C--------- καί
Ἀντιλίβανον N2--ASM--- Ἀντιλίβανος
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
παραλίας A1A-GSF--- παράλιος

Jdt 1:8
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσι N3E-DPN--- ἔθνος
τοῦ RA--GSM--- ὁ
Καρμήλου N2--GSM--- Κάρμηλος
καὶ C--------- καί
Γαλααδ N---GS---- Γαλαάδ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἄνω D--------- ἄνω
Γαλιλαίαν N1A-ASF--- Γαλιλαία
καὶ C--------- καί
τὸ RA--ASN--- ὁ
μέγα A1P-ASN--- μέγας
πεδίον N2N-ASN--- πεδίον
Εσδρηλων N---GS---- Εσδρηλων

Jdt 1:9
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἐν P--------- ἐν
Σαμαρείᾳ N1A-DSF--- Σαμαρεία
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πέραν P--------- πέραν
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἕως P--------- ἕως
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
Βατανη N---GSM--- Βατανή
καὶ C--------- καί
Χελους N---GSM--- Χελούς
καὶ C--------- καί
Καδης N---GSM--- Καδης
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
Ταφνας N---GSM--- Ταφνάς
καὶ C--------- καί
Ραμεσση N---GSM--- Ραμεσσή
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
γῆν N1--ASF--- γῆ
Γεσεμ N---GSM--- Γέσεμ

Jdt 1:10
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
ἐπάνω D--------- ἐπάνω
Τάνεως N3I-GS---- Τάνις
καὶ C--------- καί
Μέμφεως N3I-GS---- Μέμφις
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
Αἴγυπτον N2--ASF--- Αἴγυπτος
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
τῆς RA--GSF--- ὁ
Αἰθιοπίας N1A-GSF--- Αἰθιοπία

Jdt 1:11
καὶ C--------- καί
ἐφαύλισαν VAI-AAI3P- φαυλίζω
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
βασιλέως N3V-GSM--- βασιλεύς
Ἀσσυρίων N2--GPM--- Ἀσσύριος
καὶ C--------- καί
οὐ D--------- οὐ
συνῆλθον VBI-AAI3P- ἔρχομαι συν
αὐτῷ RD--DSM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
πόλεμον N2--ASM--- πόλεμος
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐφοβήθησαν VCI-API3P- φοβέω
αὐτόν RD--ASM--- αὐτός
ἀλλ' C--------- ἀλλά
ἦν V9--IAI3S- εἰμί
ἐναντίον P--------- ἐναντίον
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
ἀνὴρ N3--NSM--- ἀνήρ
εἷς A3N-NSM--- εἷς
καὶ C--------- καί
ἀνέστρεψαν VAI-AAI3P- στρέφω ἀνα
τοὺς RA--APM--- ὁ
ἀγγέλους N2--APM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
κενοὺς A1--APM--- κενός
ἐν P--------- ἐν
ἀτιμίᾳ N1A-DSF--- ἀτιμία
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός

Jdt 1:12
καὶ C--------- καί
ἐθυμώθη VCI-API3S- θυμόω
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ταύτην RD--ASF--- οὗτος
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ὤμοσε VAI-AAI3S- ὄμνυμι
κατὰ P--------- κατά
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
καὶ C--------- καί
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
εἰ C--------- εἰ
μὴν X--------- μήν
ἐκδικήσειν VF--FAN--- δικέω ἐκ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
τῆς RA--GSF--- ὁ
Κιλικίας N1A-GSF--- Κιλικία
καὶ C--------- καί
Δαμασκηνῆς N1--GSF--- Δαμασκηνή
καὶ C--------- καί
Συρίας N1A-GSF--- Συρία
ἀνελεῖν VB--AAN--- αἱρέω ἀνα
τῇ RA--DSF--- ὁ
ῥομφαίᾳ N1A-DSF--- ῥομφαία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Μωαβ N---GS---- Μωαβ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Αμμων N---GSM--- Αμμων
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
Ιουδαίαν N1A-ASF--- Ἰουδαία
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
τῶν RA--GPF--- ὁ
δύο M--------- δύο
θαλασσῶν N1S-GPF--- θάλασσα

Jdt 1:13
καὶ C--------- καί
παρετάξατο VAI-AMI3S- τάσσω παρα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δυνάμει N3I-DSF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
Αρφαξαδ N---ASM--- Αρφαξαδ
βασιλέα N3V-ASM--- βασιλεύς
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔτει N3E-DSN--- ἔτος
τῷ RA--DSN--- ὁ
ἑπτακαιδεκάτῳ A1--DSN--- ἑπτακαιδέκατος
καὶ C--------- καί
ἐκραταιώθη VCI-API3S- κραταιόω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
πολέμῳ N2--DSM--- πόλεμος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀνέστρεψεν VAI-AAI3S- στρέφω ἀνα
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
δύναμιν N3I-ASF--- δύναμις
Αρφαξαδ N---GSM--- Αρφαξαδ
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ἵππον N2--ASF--- ἵππος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἅρματα N3M-APN--- ἅρμα
αὐτοῦ RD--GSM--- αὐτός

Jdt 1:14
καὶ C--------- καί
ἐκυρίευσε VAI-AAI3S- κυριεύω
τῶν RA--GPF--- ὁ
πόλεων N3I-GPF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀφίκετο VBI-AMI3S- ἱκνέομαι ἀπο
ἕως P--------- ἕως
Ἐκβατάνων N---GP---- Ἐκβάτανα
καὶ C--------- καί
ἐκράτησε VAI-AAI3S- κρατέω
τῶν RA--GPM--- ὁ
πύργων N2--GPM--- πύργος
καὶ C--------- καί
ἐπρονόμευσε VAI-AAI3S- νομεύω προ
τὰς RA--APF--- ὁ
