Tob 1:1
βίβλος N2--NSF--- βίβλος
λόγων N2--GPM--- λόγος
Τωβιτ N---GSM--- Τωβιτ
τοῦ RA--GSM--- ὁ
Τωβιηλ N---GSM--- Τωβιηλ
τοῦ RA--GSM--- ὁ
Ανανιηλ N---GSM--- Ἁνανιηλ
τοῦ RA--GSM--- ὁ
Αδουηλ N---GSM--- Ἀδουηλ
τοῦ RA--GSM--- ὁ
Γαβαηλ N---GSM--- Γαβαηλ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
Ασιηλ N---GSM--- Ἀσιηλ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Νεφθαλιμ N---GSF--- Νεφθαλιμ

Tob 1:2
ὃς RR--NSM--- ὅς
ᾐχμαλωτεύθη VCI-API3S- αἰχμαλωτεύω
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
Ενεμεσσαρου N2--GSM--- Ἐνεμέσσαρος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Ἀσσυρίων N2--GPM--- Ἀσσύριος
ἐκ P--------- ἐκ
Θισβης N1--GSF--- Θίσβη
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐκ P--------- ἐκ
δεξιῶν A1A-GPN--- δεξιός
Κυδιως N---GS---- Κυδιως
τῆς RA--GSF--- ὁ
Νεφθαλιμ N---GSF--- Νεφθαλιμ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Γαλιλαίᾳ N1A-DSF--- Γαλιλαία
ὑπεράνω P--------- ὑπεράνω
Ασηρ N---GSM--- Ασηρ

Tob 1:3
ἐγὼ RP--NS---- ἐγώ
Τωβιτ N---NSM--- Τωβιτ
ὁδοῖς N2--DPF--- ὁδός
ἀληθείας N1A-GSF--- ἀλήθεια
ἐπορευόμην V1I-IMI1S- πορεύομαι
καὶ C--------- καί
δικαιοσύνης N1--GSF--- δικαιοσύνη
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐλεημοσύνας N1--APF--- ἐλεημοσύνη
πολλὰς A1--APF--- πολύς
ἐποίησα VAI-AAI1S- ποιέω
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
τῷ RA--DSN--- ὁ
ἔθνει N3E-DSN--- ἔθνος
τοῖς RA--DPM--- ὁ
συμπορευθεῖσιν VC--APPDPM πορεύομαι συν
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
εἰς P--------- εἰς
χώραν N1A-ASF--- χώρα
Ἀσσυρίων N2--GPM--- Ἀσσύριος
εἰς P--------- εἰς
Νινευη N---ASF--- Νινευη

Tob 1:4
καὶ C--------- καί
ὅτε D--------- ὅτε
ἤμην A1--ASF--- ἐμός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χώρᾳ N1A-DSF--- χώρα
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
Ισραηλ N---GSM--- Ἰσραήλ
νεωτέρου A1A-GSMC-- νέος
μου RP--GS---- ἐγώ
ὄντος V9--PAPGSM εἰμί
πᾶσα A1S-NSF--- πᾶς
φυλὴ N1--NSF--- φυλή
τοῦ RA--GSM--- ὁ
Νεφθαλιμ N---GSM--- Νεφθαλιμ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Ιεροσολύμων N---GS---- Ἰερουσαλήμ
τῆς RA--GSF--- ὁ
ἐκλεγείσης V1--PAPGSF λέγω ἐκ
ἀπὸ P--------- ἀπό
πασῶν A1S-GPF--- πᾶς
τῶν RA--GPF--- ὁ
φυλῶν N1--GPF--- φυλή
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
θυσιάζειν V1--PAN--- θυσιάζω
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
φυλάς N1--APF--- φυλή
καὶ C--------- καί
ἡγιάσθη VSI-API3S- ἁγιάζω
ὁ RA--NSM--- ὁ
ναὸς N2--NSM--- ναός
τῆς RA--GSF--- ὁ
κατασκηνώσεως N3I-GSF--- κατασκήνωσις
τοῦ RA--GSM--- ὁ
ὑψίστου A1A-GSM--- ὕψιστος
καὶ C--------- καί
ᾠκοδομήθη VCI-API3S- οἰκοδομέω
εἰς P--------- εἰς
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
γενεὰς N1A-APF--- γενεά
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών

Tob 1:5
καὶ C--------- καί
