Tob 1:1
βίβλος N2--NSF--- βίβλος
λόγων N2--GPM--- λόγος
Τωβιθ N---GSM--- Τωβιθ
τοῦ RA--GSM--- ὁ
Τωβιηλ N---GSM--- Τωβιηλ
τοῦ RA--GSM--- ὁ
Ανανιηλ N---GSM--- Ανανιηλ
τοῦ RA--GSM--- ὁ
Αδουηλ N---GSM--- Αδουηλ
τοῦ RA--GSM--- ὁ
Γαβαηλ N---GSM--- Γαβαηλ
τοῦ RA--GSM--- ὁ
Ραφαηλ N---GSM--- Ραφαηλ
τοῦ RA--GSM--- ὁ
Ραγουηλ N---GSM--- Ραγουηλ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
Ασιηλ N---GSM--- Ασιηλ
ἐκ P--------- ἐκ
φυλῆς N1--GSF--- φυλή
Νεφθαλιμ N---GSF--- Νεφθαλιμ

Tob 1:2
ὃς RR--NSM--- ὅς
ᾐχμαλωτεύθη VCI-API3S- αἰχμαλωτίζω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Ενεμεσσαρου N2--GSM--- Ενεμεσσαρος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τῶν RA--GPM--- ὁ
Ἀσσυρίων N2--GPM--- Ἀσσύριος
ἐκ P--------- ἐκ
Θισβης N1--GSF--- Θισβη
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐκ P--------- ἐκ
δεξιῶν A1A-GPM--- δεξιός
Κυδιως N---GS---- Κυδιως
τῆς RA--GSF--- ὁ
Νεφθαλιμ N---GSF--- Νεφθαλιμ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἄνω D--------- ἄνω
Γαλιλαίᾳ N1A-DSF--- Γαλιλαία
ὑπεράνω P--------- ὑπεράνω
Ασσηρ N---GSM--- Ασσηρ
ὀπίσω P--------- ὀπίσω
ὁδοῦ N2--GSF--- ὁδός
δυσμῶν N1--GPF--- δυσμή
ἡλίου N2--GSM--- ἥλιος
ἐξ P--------- ἐκ
ἀριστερῶν A1A-GPM--- ἀριστερός
Φογωρ N---GSM--- Φογωρ

Tob 1:3
ἐγὼ RP--NS---- ἐγώ
Τωβιθ N---NSM--- Τωβιθ
ὁδοῖς N2--DPF--- ὁδός
ἀληθείας N1A-GSF--- ἀλήθεια
ἐπορευόμην V1I-IMI1S- πορεύομαι
καὶ C--------- καί
ἐν P--------- ἐν
δικαιοσύναις N1--DPF--- δικαιοσύνη
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐλεημοσύνας N1--APF--- ἐλεημοσύνη
πολλὰς A1--APF--- πολύς
ἐποίησα VAI-AAI1S- ποιέω
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
τῷ RA--DSN--- ὁ
ἔθνει N3E-DSN--- ἔθνος
μου RP--GS---- ἐγώ
τοῖς RA--DPM--- ὁ
πορευθεῖσιν VC--API2P- πορεύομαι
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αἰχμαλωσίᾳ N1A-DSF--- αἰχμαλωσία
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
χώραν N1A-ASF--- χώρα
τῶν RA--GPM--- ὁ
Ἀσσυρίων N2--GPM--- Ἀσσύριος
εἰς P--------- εἰς
Νινευη N---ASF--- Νινευη

Tob 1:4
καὶ C--------- καί
ὅτε D--------- ὅτε
ἤμην V9--IMI1S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χώρᾳ N1A-DSF--- χώρα
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ὅτε D--------- ὅτε
ἤμην V9--IMI1S- εἰμί
νέος A1A-NSM--- νέος
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
φυλὴ N1--NSF--- φυλή
Νεφθαλιμ N---GSF--- Νεφθαλιμ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Δαυιδ N---GSM--- Δαυίδ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
πόλεως N3I-GSF--- πόλις
τῆς RA--GSF--- ὁ
ἐκλεγείσης VS--APPGSF λέγω ἐκ
ἐκ P--------- ἐκ
πασῶν A1S-GPF--- πᾶς
