Cant 1:1
ᾆσμα N3M-NSN--- ᾆσμα
ᾀσμάτων N3M-GPN--- ᾆσμα
ὅ RR--NSN--- ὅς
ἐστιν V9--PAI3S- εἰμί
τῷ RA--DSM--- ὁ
Σαλωμων N---GSM--- Σαλωμών

Cant 1:2
φιλησάτω VA--AAD3S- φιλέω
με RP--AS---- ἐγώ
ἀπὸ P--------- ἀπό
φιλημάτων N3M-GPN--- φίλημα
στόματος N3M-GSN--- στόμα
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
ἀγαθοὶ A1--NPM--- ἀγαθός
μαστοί N2--NPM--- μαστός
σου RP--GS---- σύ
ὑπὲρ P--------- ὑπέρ
οἶνον N2--ASM--- οἶνος

Cant 1:3
καὶ C--------- καί
ὀσμὴ N1--NSF--- ὀσμή
μύρων N2N-GPN--- μύρον
σου RP--GS---- σύ
ὑπὲρ P--------- ὑπέρ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἀρώματα N3M-APN--- ἄρωμα
μύρον N2N-NSN--- μύρον
ἐκκενωθὲν VC--APPNSN κενόω ἐκ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GS---- σύ
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
νεάνιδες N3D-NPF--- νεᾶνις
ἠγάπησάν VAI-AAI3P- ἀγαπάω
σε RP--AS---- σύ

Cant 1:4
εἵλκυσάν VAI-AAI3P- ἕλκω
σε RP--AS---- σύ
ὀπίσω P--------- ὀπίσω
σου RP--GS---- σύ
εἰς P--------- εἰς
ὀσμὴν N1--ASF--- ὀσμή
μύρων N2N-GPN--- μύρον
σου RP--GS---- σύ
δραμοῦμεν VF2-FAI1P- τρέχω
εἰσήνεγκέν VAI-AAI3S- φέρω εἰς
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ταμίειον N2N-ASN--- ταμιεῖον
αὐτοῦ RD--GSM--- αὐτός
ἀγαλλιασώμεθα VA--AMS1P- ἀγαλλιάομαι
καὶ C--------- καί
εὐφρανθῶμεν VC--APS1P- εὐφραίνω
ἐν P--------- ἐν
σοί RP--DS---- σύ
ἀγαπήσομεν VF--FAI1P- ἀγαπάω
μαστούς N2--APM--- μαστός
σου RP--GS---- σύ
ὑπὲρ P--------- ὑπέρ
οἶνον N2--ASM--- οἶνος
εὐθύτης N3T-NSF--- εὐθύτης
ἠγάπησέν VAI-AAI3S- ἀγαπάω
σε RP--AS---- σύ

Cant 1:5
μέλαινά A1S-NSF--- μέλας
εἰμι V9--PAI1S- εἰμί
καὶ C--------- καί
καλή A1--NSF--- καλός
θυγατέρες N3--VPF--- θυγάτηρ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ὡς C--------- ὡς
σκηνώματα N3M-NPN--- σκήνωμα
Κηδαρ N---GS---- Κηδαρ
ὡς C--------- ὡς
δέρρεις N3I-NPF--- δέρρις
Σαλωμων N---GSM--- Σαλωμών

Cant 1:6
μὴ D--------- μή
βλέψητέ VA--AAS2P- βλέπω
με RP--AS---- ἐγώ
ὅτι C--------- ὅτι
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
μεμελανωμένη VM--XPPNSF μελανόομαι
ὅτι C--------- ὅτι
παρέβλεψέν VAI-AAI3S- βλέπω παρα
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
υἱοὶ N2--NPM--- υἱός
μητρός N3--GSF--- μήτηρ
μου RP--GS---- ἐγώ
ἐμαχέσαντο VAI-AMI3P- μάχομαι
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ
ἔθεντό VEI-AMI3P- τίθημι
με RP--AS---- ἐγώ
φυλάκισσαν N1A-ASF--- φυλάκισσα
ἐν P--------- ἐν
ἀμπελῶσιν N3W-DPM--- ἀμπελών
ἀμπελῶνα N3W-ASM--- ἀμπελών
ἐμὸν A1--ASM--- ἐμός
οὐκ D--------- οὐ
ἐφύλαξα VAI-AAI1S- φυλάσσω

Cant 1:7
ἀπάγγειλόν VA--AAD2S- ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ
ὃν RR--ASM--- ὅς
ἠγάπησεν VAI-AAI3S- ἀγαπάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
ποῦ D--------- ποῦ
ποιμαίνεις V1--PAI2S- ποιμαίνω
ποῦ D--------- ποῦ
κοιτάζεις V1--PAI2S- κοιτάζομαι
ἐν P--------- ἐν
μεσημβρίᾳ N1A-DSF--- μεσημβρία
μήποτε D--------- μήποτε
γένωμαι VB--AMS1S- γίγνομαι
ὡς C--------- ὡς
περιβαλλομένη V1--PMPNSF βάλλω περι
ἐπ' P--------- ἐπί
ἀγέλαις N1--DPF--- ἀγέλη
ἑταίρων N2--GPM--- ἑταῖρος
σου RP--GS---- σύ

Cant 1:8
ἐὰν C--------- ἐάν
μὴ D--------- μή
γνῷς VZ--AAS2S- γιγνώσκω
σεαυτήν RD--ASF--- σεαυτοῦ
ἡ RA--VSF--- ὁ
καλὴ A1--VSF--- καλός
ἐν P--------- ἐν
γυναιξίν N3K-DPF--- γυνή
ἔξελθε VB--AAD2S- ἔρχομαι ἐκ
σὺ RP--NS---- σύ
ἐν P--------- ἐν
πτέρναις N1--DPF--- πτέρνη
τῶν RA--GPN--- ὁ
ποιμνίων N2--GPN--- ποίμνιον
καὶ C--------- καί
ποίμαινε V1--PAD2S- ποιμαίνω
τὰς RA--APF--- ὁ
ἐρίφους N2--APM--- ἔριφος
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
σκηνώμασιν N3M-DPN--- σκήνωμα
τῶν RA--GPM--- ὁ
ποιμένων N3--GPM--- ποιμήν

Cant 1:9
τῇ RA--DSF--- ὁ
ἵππῳ N2--DSF--- ἵππος
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ἅρμασιν N3M-DPN--- ἅρμα
Φαραω N---GSM--- Φαραώ
ὡμοίωσά VAI-AAI1S- ὁμοιόω
σε RP--AS---- σύ
ἡ RA--VSF--- ὁ
πλησίον D--------- πλησίον
μου RP--GS---- ἐγώ

Cant 1:10
τί RI--ASN--- τίς
ὡραιώθησαν VC--API3P- ὡραιοῦμαι
σιαγόνες N3N-NPF--- σιαγών
σου RP--GS---- σύ
ὡς C--------- ὡς
τρυγόνες N3N-NPF--- τρυγών
τράχηλός N2--NSM--- τράχηλος
σου RP--GS---- σύ
ὡς C--------- ὡς
ὁρμίσκοι N2--NPM--- ὁρμίσκος

Cant 1:11
ὁμοιώματα N3M-APN--- ὁμοίωμα
χρυσίου N2N-GSN--- χρυσίον
ποιήσομέν VF--FAI1P- ποιέω
σοι RP--DS---- σύ
μετὰ P--------- μετά
στιγμάτων N3M-GPN--- στίγμα
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον

Cant 1:12
ἕως D--------- ἕως
οὗ RR--GSM--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐν P--------- ἐν
ἀνακλίσει N3I-DSF--- ἀνάκλισις
αὐτοῦ RD--GSM--- αὐτός
νάρδος N2--NSF--- νάρδος
μου RP--GS---- ἐγώ
ἔδωκεν VAI-AAI3S- δίδωμι
ὀσμὴν N1--ASF--- ὀσμή
αὐτοῦ RD--GSM--- αὐτός

Cant 1:13
ἀπόδεσμος N2--NSM--- ἀπόδεσμος
τῆς RA--GSF--- ὁ
στακτῆς N1--GSF--- στακτή
ἀδελφιδός N2--NSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
ἐμοί RP--DS---- ἐγώ
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPM--- ὁ
μαστῶν N2--GPM--- μαστός
μου RP--GS---- ἐγώ
αὐλισθήσεται VS--FPI3S- αὐλίζω

Cant 1:14
βότρυς N3U-NSM--- βότρυς
τῆς RA--GSF--- ὁ
κύπρου N2--GSF--- κύπρος
ἀδελφιδός N2--NSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
ἐμοὶ RP--DS---- ἐγώ
ἐν P--------- ἐν
ἀμπελῶσιν N3W-DPM--- ἀμπελών
Εγγαδδι N---GS---- Εγγαδδι

Cant 1:15
ἰδοὺ I--------- ἰδού
εἶ V9--PAI2S- εἰμί
καλή A1--NSF--- καλός
ἡ RA--VSF--- ὁ
πλησίον D--------- πλησίον
μου RP--GS---- ἐγώ
ἰδοὺ I--------- ἰδού
εἶ V9--PAI2S- εἰμί
καλή A1--NSF--- καλός
ὀφθαλμοί N2--NPM--- ὀφθαλμός
σου RP--GS---- σύ
περιστεραί N1A-NPF--- περιστερά

Cant 1:16
ἰδοὺ I--------- ἰδού
εἶ V9--PAI2S- εἰμί
καλός A1--NSM--- καλός
ὁ RA--NSM--- ὁ
ἀδελφιδός N2--NSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
καί C--------- καί
γε X--------- γέ
ὡραῖος A1A-NSM--- ὡραῖος
πρὸς D--------- πρός
κλίνη N1--NSF--- κλίνη
ἡμῶν RP--GP---- ἐγώ
σύσκιος A1B-NSF--- σύσκιος

Cant 1:17
δοκοὶ N2--NPF--- δοκός
οἴκων N2--GPM--- οἶκος
ἡμῶν RP--GP---- ἐγώ
κέδροι N2--NPF--- κέδρος
φατνώματα N3M-NPN--- φάτνωμα
ἡμῶν RP--GP---- ἐγώ
κυπάρισσοι N2--NPF--- κυπάρισσος

Cant 2:1
ἐγὼ RP--NS---- ἐγώ
ἄνθος N3E-NSN--- ἄνθος
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον
κρίνον N2N-NSN--- κρίνον
τῶν RA--GPF--- ὁ
κοιλάδων N3D-GPF--- κοιλάς

Cant 2:2
ὡς C--------- ὡς
κρίνον N2N-NSN--- κρίνον
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
ἀκανθῶν N1A-GPF--- ἄκανθα
οὕτως D--------- οὕτως
ἡ RA--NSF--- ὁ
πλησίον D--------- πλησίον
μου RP--GS---- ἐγώ
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ

Cant 2:3
ὡς C--------- ὡς
μῆλον N2N-NSN--- μῆλον
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ξύλοις N2N-DPN--- ξύλον
τοῦ RA--GSM--- ὁ
δρυμοῦ N2--GSM--- δρυμός
οὕτως D--------- οὕτως
