Hos 1:1
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
ὃς RR--NSM--- ὅς
ἐγενήθη VCI-API3S- γίγνομαι
πρὸς P--------- πρός
Ωσηε N---ASM--- Ωσηε
τὸν RA--ASM--- ὁ
τοῦ RA--GSM--- ὁ
Βεηρι N---GSM--- Βεηρι
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
Οζιου N1T-GSM--- Οζιας
καὶ C--------- καί
Ιωαθαμ N---GSM--- Ιωαθαμ
καὶ C--------- καί
Αχαζ N---GSM--- Αχαζ
καὶ C--------- καί
Εζεκιου N1T-GSM--- Εζεκιας
βασιλέων N3V-GPM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
Ιεροβοαμ N---GSM--- Ιεροβοαμ
υἱοῦ N2--GSM--- υἱός
Ιωας N---GSM--- Ιωας
βασιλέως N3V-GSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ

Hos 1:2
ἀρχὴ N1--NSF--- ἀρχή
λόγου N2--GSM--- λόγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Ωσηε N---ASM--- Ωσηε
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Ωσηε N---ASM--- Ωσηε
βάδιζε V1--PAD2S- βαδίζω
λαβὲ VB--AAD2S- λαμβάνω
σεαυτῷ RD--DSM--- σεαυτοῦ
γυναῖκα N3K-ASF--- γυνή
πορνείας N1A-GSF--- πορνεία
καὶ C--------- καί
τέκνα N2N-APN--- τέκνον
πορνείας N1A-GSF--- πορνεία
διότι C--------- διότι
ἐκπορνεύουσα V1--PAPNSF πορνεύω ἐκ
ἐκπορνεύσει VF--FAI3S- πορνεύω ἐκ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἀπὸ P--------- ἀπό
ὄπισθεν D--------- ὄπισθεν
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος

Hos 1:3
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
Γομερ N---ASF--- Γομερ
θυγατέρα N3--ASF--- θυγάτηρ
Δεβηλαιμ N---GSM--- Δεβηλαιμ
καὶ C--------- καί
συνέλαβεν VBI-AAI3S- λαμβάνω συν
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
αὐτῷ RD--DSM--- αὐτός
υἱόν N2--ASM--- υἱός

Hos 1:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
κάλεσον VA--AAD2S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Ιεζραελ N---NSM--- Ιεζραελ
διότι C--------- διότι
ἔτι D--------- ἔτι
μικρὸν A1A-ASM--- μικρός
καὶ C--------- καί
ἐκδικήσω VF--FAI1S- δικέω ἐκ
τὸ RA--ASN--- ὁ
αἷμα N3M-ASN--- αἷμα
τοῦ RA--GSM--- ὁ
Ιεζραελ N---GSM--- Ιεζραελ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ιου N---GSM--- Ιηου
καὶ C--------- καί
καταπαύσω VF--FAI1S- παύω κατα
βασιλείαν N1A-ASF--- βασιλεία
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ

Hos 1:5
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
συντρίψω VF--FAI1S- τρίβω συν
τὸ RA--ASN--- ὁ
τόξον N2N-ASN--- τόξον
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κοιλάδι N3D-DSF--- κοιλάς
τοῦ RA--GSM--- ὁ
Ιεζραελ N---GSM--- Ιεζραελ

Hos 1:6
καὶ C--------- καί
συνέλαβεν VBI-AAI3S- λαμβάνω συν
ἔτι D--------- ἔτι
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
θυγατέρα N3--ASF--- θυγάτηρ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
κάλεσον VA--AAD2S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτῆς RD--GSF--- αὐτός
Οὐκ-ἠλεημένη N---NSF--- οὐ+ἐλεέω
διότι C--------- διότι
οὐ D--------- οὐ
μὴ D--------- μή
προσθήσω VF--FAI1S- τίθημι προς
ἔτι D--------- ἔτι
ἐλεῆσαι VA--AAN--- ἐλεέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἀντιτασσόμενος V1--PMPNSM τάσσω ἀντι
ἀντιτάξομαι VF--FMI1S- τάσσω ἀντι
αὐτοῖς RD--DPM--- αὐτός

Hos 1:7
τοὺς RA--APM--- ὁ
δὲ X--------- δέ
υἱοὺς N2--APM--- υἱός
Ιουδα N---GSM--- Ιουδα
ἐλεήσω VF--FAI1S- ἐλεέω
καὶ C--------- καί
σώσω VF--FAI1S- σώζω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
σώσω VF--FAI1S- σώζω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τόξῳ N2N-DSN--- τόξον
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
πολέμῳ N2--DSM--- πόλεμος
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
ἅρμασιν N3M-DPN--- ἅρμα
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
ἵπποις N2--DPM--- ἵππος
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
ἱππεῦσιν N3V-DPM--- ἱππεύς

Hos 1:8
καὶ C--------- καί
ἀπεγαλάκτισεν VAI-AAI3S- γαλακτίζω ἀπο
τὴν RA--ASF--- ὁ
Οὐκ-ἠλεημένην N---ASF--- οὐ+ἐλεέω
καὶ C--------- καί
συνέλαβεν VBI-AAI3S- λαμβάνω συν
ἔτι D--------- ἔτι
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
υἱόν N2--ASM--- υἱός

Hos 1:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κάλεσον VA--AAD2S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Οὐ-λαός-μου N---NSM--- οὐ+λαός+ἐγώ
διότι C--------- διότι
ὑμεῖς RP--NP---- σύ
οὐ D--------- οὐ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὔκ D--------- οὐ
εἰμι V9--PAI1S- εἰμί
ὑμῶν RP--GP---- σύ

Hos 2:1
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἀριθμὸς N2--NSM--- ἀριθμός
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ὡς C--------- ὡς
ἡ RA--NSF--- ὁ
ἄμμος N2--NSF--- ἄμμος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
ἣ RR--NSF--- ὅς
οὐκ D--------- οὐ
ἐκμετρηθήσεται VC--FPI3S- μετρέω ἐκ
οὐδὲ C--------- οὐδέ
ἐξαριθμηθήσεται VC--FPI3S- ἀριθμέω ἐκ
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
οὗ D--------- οὗ
ἐρρέθη VCI-API3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
οὐ D--------- οὐ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ὑμεῖς RP--NP---- σύ
ἐκεῖ D--------- ἐκεῖ
κληθήσονται VC--FPI3P- καλέω
υἱοὶ N2--NPM--- υἱός
θεοῦ N2--GSM--- θεός
ζῶντος V3--PAPGSM ζάω

Hos 2:2
καὶ C--------- καί
συναχθήσονται VQ--FPI3P- ἄγω συν
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αὐτὸ RD--ASN--- αὐτός
καὶ C--------- καί
θήσονται VF--FMI3P- τίθημι
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
ἀρχὴν N1--ASF--- ἀρχή
μίαν A1A-ASF--- εἷς
καὶ C--------- καί
ἀναβήσονται VF--FMI3P- βαίνω ἀνα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὅτι C--------- ὅτι
μεγάλη A1--NSF--- μέγας
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
