Mic 1:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Μιχαιαν N1T-ASM--- Μιχαιας
τὸν RA--ASM--- ὁ
τοῦ RA--GSM--- ὁ
Μωρασθι N---GSM--- Μωρασθι
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
Ιωαθαμ N---GSM--- Ιωαθαμ
καὶ C--------- καί
Αχαζ N---GSM--- Αχαζ
καὶ C--------- καί
Εζεκιου N1T-GSM--- Εζεκιας
βασιλέων N3V-GPM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
ὑπὲρ P--------- ὑπέρ
ὧν RR--GPM--- ὅς
εἶδεν VBI-AAI3S- ὁράω
περὶ P--------- περί
Σαμαρείας N1A-GSF--- Σαμαρεία
καὶ C--------- καί
περὶ P--------- περί
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Mic 1:2
ἀκούσατε VA--AAD2P- ἀκούω
λαοί N2--VPM--- λαός
λόγους N2--APM--- λόγος
καὶ C--------- καί
προσεχέτω V1--PAD3S- ἔχω προς
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
εἰς P--------- εἰς
μαρτύριον N2N-ASN--- μαρτύριον
κύριος N2--NSM--- κύριος
ἐξ P--------- ἐκ
οἴκου N2--GSM--- οἶκος
ἁγίου A1A-GSM--- ἅγιος
αὐτοῦ RD--GSM--- αὐτός

Mic 1:3
διότι C--------- διότι
ἰδοὺ I--------- ἰδού
κύριος N2--NSM--- κύριος
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
καταβήσεται VF--FMI3S- βαίνω κατα
καὶ C--------- καί
ἐπιβήσεται VF--FMI3S- βαίνω ἐπι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὕψη N3E-APN--- ὕψος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Mic 1:4
καὶ C--------- καί
σαλευθήσεται VC--FPI3S- σαλεύω
τὰ RA--NPN--- ὁ
ὄρη N3E-NPN--- ὄρος
ὑποκάτωθεν P--------- ὑποκάτωθεν
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κοιλάδες N3D-NPF--- κοιλάς
τακήσονται VF--FMI3P- τήκω
ὡς C--------- ὡς
κηρὸς N2--NSM--- κηρός
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
