Amo 1:1
λόγοι N2--NPM--- λόγος
Αμως N---GSM--- Αμως
οἳ RR--NPM--- ὅς
ἐγένοντο VBI-AMI3P- γίγνομαι
ἐν P--------- ἐν
νακκαριμ N---DPM--- νακκαριμ
ἐκ P--------- ἐκ
Θεκουε N---GS---- Θεκουε
οὓς RR--APM--- ὅς
εἶδεν VBI-AAI3S- ὁράω
ὑπὲρ P--------- ὑπέρ
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
Οζιου N1T-GSM--- Οζιας
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
Ιεροβοαμ N---GSM--- Ιεροβοαμ
τοῦ RA--GSM--- ὁ
Ιωας N---GSM--- Ιωας
βασιλέως N3V-GSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
πρὸ P--------- πρό
δύο M--------- δύο
ἐτῶν N3E-GPN--- ἔτος
τοῦ RA--GSM--- ὁ
σεισμοῦ N2--GSM--- σεισμός

Amo 1:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ἐκ P--------- ἐκ
Σιων N---GS---- Σιων
ἐφθέγξατο VAI-AMI3S- φθέγγομαι
καὶ C--------- καί
ἐξ P--------- ἐκ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἔδωκεν VAI-AAI3S- δίδωμι
φωνὴν N1--ASF--- φωνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπένθησαν VAI-AAI3P- πενθέω
αἱ RA--NPF--- ὁ
νομαὶ N1--NPF--- νομή
τῶν RA--GPM--- ὁ
ποιμένων N3--GPM--- ποιμήν
καὶ C--------- καί
ἐξηράνθη VCI-API3S- ξηραίνω
ἡ RA--NSF--- ὁ
κορυφὴ N1--NSF--- κορυφή
τοῦ RA--GSM--- ὁ
Καρμήλου N2--GSM--- Καρμήλος

Amo 1:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τρισὶν A3--DPF--- τρεῖς
ἀσεβείαις N1A-DPF--- ἀσέβεια
Δαμασκοῦ N2--GS---- Δαμασκός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
οὐκ D--------- οὐ
ἀποστραφήσομαι VD--FPI1S- στρέφω ἀπο
αὐτόν RD--ASM--- αὐτός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἔπριζον V1I-IAI3P- πρίζω
πρίοσιν N3N-DPM--- πρίων
σιδηροῖς A1C-DPM--- σιδηροῦς
τὰς RA--APF--- ὁ
