Hag 1:1
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
δευτέρῳ A1A-DSN--- δεύτερος
ἔτει N3E-DSN--- ἔτος
ἐπὶ P--------- ἐπί
Δαρείου N2--GSM--- Δαρείος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
μηνὶ N3--DSM--- μήν
τῷ RA--DSM--- ὁ
ἕκτῳ A1--DSM--- ἕκτος
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κύριου N2--GSM--- κύριος
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
Αγγαιου N2--GSM--- Αγγαιος
τοῦ RA--GSM--- ὁ
προφήτου N1M-GSM--- προφήτης
λέγων V1--PAPNSM λέγω
εἰπὸν VB--AAD2S- εἶπον
δὴ X--------- δή
πρὸς P--------- πρός
Ζοροβαβελ N---DSM--- Ζοροβαβελ
τὸν RA--ASM--- ὁ
τοῦ RA--GSM--- ὁ
Σαλαθιηλ N---GSM--- Σαλαθιηλ
ἐκ P--------- ἐκ
φυλῆς N1--GSF--- φυλή
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
πρὸς P--------- πρός
Ἰησοῦν N---ASM--- Ἰησοῦς
τὸν RA--ASM--- ὁ
τοῦ RA--GSM--- ὁ
Ιωσεδεκ N---GSM--- Ιωσεδεκ
τὸν RA--ASM--- ὁ
ἱερέα N3V-ASM--- ἱερεύς
τὸν RA--ASM--- ὁ
μέγαν A1P-ASM--- μέγας
λέγων V1--PAPNSM λέγω

Hag 1:2
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
λέγων V1--PAPNSM λέγω
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
οὗτος RD--NSM--- οὗτος
λέγουσιν V1--PAI3P- λέγω
οὐχ D--------- οὐ
ἥκει V1--PAI3S- ἥκω
ὁ RA--NSM--- ὁ
καιρὸς N2--NSM--- καιρός
τοῦ RA--GSN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος

Hag 1:3
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
Αγγαιου N2--GSM--- Αγγαιος
τοῦ RA--GSM--- ὁ
προφήτου N1M-GSM--- προφήτης
λέγων V1--PAPNSM λέγω

Hag 1:4
εἰ C--------- εἰ
καιρὸς N2--NSM--- καιρός
ὑμῖν RP--DP---- σύ
μέν X--------- μέν
ἐστιν V9--PAI3S- εἰμί
τοῦ RA--GSN--- ὁ
οἰκεῖν V2--PAN--- οἰκέω
ἐν P--------- ἐν
οἴκοις N2--DPM--- οἶκος
ὑμῶν RP--GP---- σύ
κοιλοστάθμοις N2--DPM--- κοιλόσταθμος
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
οἶκος N2--NSM--- οἶκος
οὗτος RD--NSM--- οὗτος
ἐξηρήμωται VM--XMI3S- ἐρημόω ἐκ

Hag 1:5
καὶ C--------- καί
νῦν D--------- νῦν
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
τάξατε VA--AAD2P- τάσσω
δὴ X--------- δή
τὰς RA--APF--- ὁ
καρδίας N1A-APF--- καρδία
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
ὑμῶν RP--GP---- σύ

Hag 1:6
ἐσπείρατε VAI-AAI2P- σπείρω
πολλὰ A1--APN--- πολύς
καὶ C--------- καί
εἰσηνέγκατε VAI-AAI2P- φέρω εἰς
ὀλίγα A1--APN--- ὀλίγος
ἐφάγετε VBI-AAI2P- ἐσθίω
καὶ C--------- καί
οὐκ D--------- οὐ
εἰς P--------- εἰς
πλησμονήν N1--ASF--- πλησμονή
ἐπίετε VBI-AAI2P- πίνω
καὶ C--------- καί
οὐκ D--------- οὐ
εἰς P--------- εἰς
μέθην N1--ASF--- μέθη
περιεβάλεσθε VBI-AMI2P- βάλλω περι
καὶ C--------- καί
οὐκ D--------- οὐ
ἐθερμάνθητε VCI-API2P- θερμαίνω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
τοὺς RA--APM--- ὁ
μισθοὺς N2--APM--- μισθός
συνάγων V1--PAPNSM ἄγω συν
συνήγαγεν VBI-AAI3S- ἄγω συν
εἰς P--------- εἰς
δεσμὸν N2--ASM--- δεσμός
τετρυπημένον VM--XMPASM τρυπάω

Hag 1:7
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
θέσθε VE--AMD2P- τίθημι
τὰς RA--APF--- ὁ
καρδίας N1A-APF--- καρδία
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
ὑμῶν RP--GP---- σύ

Hag 1:8
ἀνάβητε VB--AAS2P- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
καὶ C--------- καί
κόψατε VA--AAD2P- κόπτω
ξύλα N2N-APN--- ξύλον
καὶ C--------- καί
οἰκοδομήσατε VA--AAD2P- οἰκοδομέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
καὶ C--------- καί
εὐδοκήσω VF--FAI1S- εὐδοκέω
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἐνδοξασθήσομαι VS--FPI1S- δοξάζομαι ἐν
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος

Hag 1:9
ἐπεβλέψατε VAI-AAI2P- βλέπω ἐπι
εἰς P--------- εἰς
