Mal 1:1
λῆμμα N3M-NSN--- λῆμμα
λόγου N2--GSM--- λόγος
κυρίου N2--GSM--- κύριος
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
ἀγγέλου N2--GSM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
θέσθε VE--AMD2P- τίθημι
δὴ X--------- δή
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
καρδίας N1A-APF--- καρδία
ὑμῶν RP--GP---- σύ

Mal 1:2
ἠγάπησα VAI-AAI1S- ἀγαπάω
ὑμᾶς RP--AP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
εἴπατε VAI-AAI2P- εἶπον
ἐν P--------- ἐν
τίνι RI--DSN--- τίς
ἠγάπησας VAI-AAI2S- ἀγαπάω
ἡμᾶς RP--AP---- ἐγώ
οὐκ D--------- οὐ
ἀδελφὸς N2--NSM--- ἀδελφός
ἦν V9--IAI3S- εἰμί
Ησαυ N---NSM--- Ησαυ
τοῦ RA--GSM--- ὁ
Ιακωβ N---GSM--- Ἰακώβ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ἠγάπησα VAI-AAI1S- ἀγαπάω
τὸν RA--ASM--- ὁ
Ιακωβ N---ASM--- Ἰακώβ

Mal 1:3
τὸν RA--ASM--- ὁ
δὲ X--------- δέ
Ησαυ N---ASM--- Ησαυ
ἐμίσησα VAI-AAI1S- μισέω
καὶ C--------- καί
ἔταξα VAI-AAI1S- τάσσω
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κληρονομίαν N1A-ASF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
δόματα N3M-APN--- δόμα
ἐρήμου N2--GSF--- ἔρημος

Mal 1:4
διότι C--------- διότι
ἐρεῖ VF2-FAI3S- εἶπον
ἡ RA--NSF--- ὁ
Ιδουμαία N1A-NSF--- Ιδουμαία
κατέστραπται VMI-XPI3S- στρέφω κατα
καὶ C--------- καί
ἐπιστρέψωμεν VA--AAS1P- στρέφω ἐπι
καὶ C--------- καί
ἀνοικοδομήσωμεν VF--FAI1P- οἰκοδομέω ἀνα
τὰς RA--APF--- ὁ
ἐρήμους N2--APF--- ἔρημος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
αὐτοὶ RD--NPM--- αὐτός
οἰκοδομήσουσιν VF--FAI3P- οἰκοδομέω
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
καταστρέψω VF--FAI1S- στρέφω κατα
καὶ C--------- καί
ἐπικληθήσεται VC--FPI3S- καλέω ἐπι
αὐτοῖς RD--DPM--- αὐτός
ὅρια N2N-APN--- ὅριος
ἀνομίας N1A-GSF--- ἀνομία
καὶ C--------- καί
λαὸς N2--NSM--- λαός
ἐφ' P--------- ἐπί
ὃν RR--ASM--- ὅς
παρατέτακται VK--XMI3S- τάσσω παρα
κύριος N2--NSM--- κύριος
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

Mal 1:5
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ὀφθαλμοὶ N2--NPM--- ὀφθαλμός
ὑμῶν RP--GP---- σύ
ὄψονται VF--FMI3P- ὁράω
καὶ C--------- καί
ὑμεῖς RP--NP---- σύ
ἐρεῖτε VF2-FAI2P- εἶπον
ἐμεγαλύνθη VCI-API3S- μεγαλύνω
κύριος N2--NSM--- κύριος
ὑπεράνω D--------- ὑπεράνω
τῶν RA--GPN--- ὁ
ὁρίων N2N-GPN--- ὅριον
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Mal 1:6
υἱὸς N2--NSM--- υἱός
δοξάζει V1--PAI3S- δοξάζω
πατέρα N3--ASM--- πατήρ
καὶ C--------- καί
δοῦλος N2--NSM--- δοῦλος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἰ C--------- εἰ
πατήρ N3--NSM--- πατήρ
εἰμι V9--PAI1S- εἰμί
ἐγώ RP--NS---- ἐγώ
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἰ C--------- εἰ
κύριός N2--NSM--- κύριος
εἰμι V9--PAI1S- εἰμί
ἐγώ RP--NS---- ἐγώ
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
φόβος N2--NSM--- φόβος
μου RP--GS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
ὑμεῖς RP--NP---- σύ
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
οἱ RA--NPM--- ὁ
φαυλίζοντες V1--PAPNPM φαυλίζω
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἴπατε VAI-AAI2P- εἶπον
ἐν P--------- ἐν
τίνι RI--DSN--- τίς
ἐφαυλίσαμεν VAI-AAI1P- φαυλίζω
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ

Mal 1:7
προσάγοντες V1--PAPNPM ἄγω προς
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
θυσιαστήριόν N2N-ASN--- θυσιαστήριον
μου RP--GS---- ἐγώ
ἄρτους N2--APM--- ἄρτος
