Bar 1:1
καὶ C--------- καί
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
τοῦ RA--GSN--- ὁ
βιβλίου N2N-GSN--- βιβλίον
οὓς RR--APM--- ὅς
ἔγραψεν VAI-AAI3S- γράφω
Βαρουχ N---NSM--- Βαρουχ
υἱὸς N2--NSM--- υἱός
Νηριου N---GSM--- Νηριας
υἱοῦ N2--GSM--- υἱός
Μαασαιου N---GSM--- Μαασαις
υἱοῦ N2--GSM--- υἱός
Σεδεκιου N---GSM--- Σεδεκιας
υἱοῦ N2--GSM--- υἱός
Ασαδιου N---GSM--- Ασαδιας
υἱοῦ N2--GSM--- υἱός
Χελκιου N---GSM--- Χελκιας
ἐν P--------- ἐν
Βαβυλῶνι N3N-DSF--- Βαβυλών

Bar 1:2
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔτει N3E-DSN--- ἔτος
τῷ RA--DSN--- ὁ
πέμπτῳ A1--DSN--- πέμπτος
ἐν P--------- ἐν
ἑβδόμῃ A1--DSF--- ἕβδομος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
ᾧ RR--DSM--- ὅς
ἔλαβον VBI-AAI3P- λαμβάνω
οἱ RA--NPM--- ὁ
Χαλδαῖοι N2--NPM--- Χαλδαῖος
τὴν RA--ASF--- ὁ
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
ἐνέπρησαν VAI-AAI3P- πίμπρημι ἐν
αὐτὴν RD--ASF--- αὐτός
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ

Bar 1:3
καὶ C--------- καί
ἀνέγνω VZI-AAI3S- γιγνώσκω ἀνα
Βαρουχ N---NSM--- Βαρουχ
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τοῦ RA--GSN--- ὁ
βιβλίου N2N-GSN--- βιβλίον
τούτου RD--GSN--- οὗτος
ἐν P--------- ἐν
ὠσὶν N3T-DPN--- οὖς
Ιεχονιου N---GSM--- Ιεχονιας
υἱοῦ N2--GSM--- υἱός
Ιωακιμ N---GSM--- Ιωακιμ
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐν P--------- ἐν
ὠσὶ N3T-DPN--- οὖς
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τῶν RA--GPM--- ὁ
ἐρχομένων V1--PMPGPM ἔρχομαι
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
βίβλον N2--ASF--- βίβλος

Bar 1:4
καὶ C--------- καί
ἐν P--------- ἐν
ὠσὶν N3T-DPN--- οὖς
τῶν RA--GPM--- ὁ
δυνατῶν A1--GPM--- δυνατός
καὶ C--------- καί
υἱῶν N2--GPM--- υἱός
τῶν RA--GPM--- ὁ
βασιλέων N3V-GPM--- βασιλεύς
καὶ C--------- καί
ἐν P--------- ἐν
ὠσὶ N3T-DPN--- οὖς
τῶν RA--GPM--- ὁ
πρεσβυτέρων N2--GPM--- πρεσβύτερος
καὶ C--------- καί
ἐν P--------- ἐν
ὠσὶ N3T-DPN--- οὖς
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
ἀπὸ P--------- ἀπό
μικροῦ A1A-GSM--- μικρός
ἕως P--------- ἕως
μεγάλου A1--GSM--- μέγας
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
κατοικούντων V2--PAPGPM οἰκέω κατα
ἐν P--------- ἐν
Βαβυλῶνι N3N-DSF--- Βαβυλών
ἐπὶ P--------- ἐπί
ποταμοῦ N2--GSM--- ποταμός
Σουδ N---GS---- Σουδ

Bar 1:5
καὶ C--------- καί
ἔκλαιον V1I-IAI3P- κλαίω
καὶ C--------- καί
ἐνήστευον V1I-IAI3P- νηστεύω
καὶ C--------- καί
ηὔχοντο V1I-IMI3P- εὔχομαι
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος

Bar 1:6
καὶ C--------- καί
συνήγαγον VBI-AAI3P- ἄγω συν
ἀργύριον N2N-ASN--- ἀργύριον
καθὰ D--------- καθά
ἑκάστου A1--GSM--- ἕκαστος
ἠδύνατο V6I-IMI3S- δύναμαι
ἡ RA--NSF--- ὁ
χείρ N3--NSF--- χείρ

Bar 1:7
καὶ C--------- καί
ἀπέστειλαν VAI-AAI3P- στέλλω ἀπο
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
πρὸς P--------- πρός
Ιωακιμ N---ASM--- Ιωακιμ
υἱὸν N2--ASM--- υἱός
Χελκιου N---GSM--- Χελκιας
υἱοῦ N2--GSM--- υἱός
Σαλωμ N---GSM--- Σαλωμ
τὸν RA--ASM--- ὁ
ἱερέα N3V-ASM--- ἱερεύς
καὶ C--------- καί
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-APM--- ἱερεύς
καὶ C--------- καί
πρὸς P--------- πρός
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τοὺς RA--APM--- ὁ
εὑρεθέντας VC--APPAPM εὑρίσκω
μετ' P--------- μετά
