Eze 1:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τριακοστῷ A1--DSN--- τριακοστός
ἔτει N3E-DSN--- ἔτος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τετάρτῳ A1--DSM--- τέταρτος
μηνὶ N3--DSM--- μήν
πέμπτῃ A1--DSF--- πέμπτος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἤμην V9I-IAI1S- εἰμί
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
τοῦ RA--GSM--- ὁ
Χοβαρ N---GS---- Χοβαρ
καὶ C--------- καί
ἠνοίχθησαν VQI-API3P- οἴγω ἀνα
οἱ RA--NPM--- ὁ
οὐρανοί N2--NPM--- οὐρανός
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
ὁράσεις N3I-APF--- ὅρασις
θεοῦ N2--GSM--- θεός

Eze 1:2
πέμπτῃ A1--DSF--- πέμπτος
τοῦ RA--GSM--- ὁ
μηνός N3--GSM--- μήν
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
ἔτος N3E-NSN--- ἔτος
τὸ RA--NSN--- ὁ
πέμπτον A1--NSN--- πέμπτος
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Ιωακιμ N---GSM--- Ιωακιμ

Eze 1:3
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Ιεζεκιηλ N---ASM--- Ιεζεκιηλ
υἱὸν N2--ASM--- υἱός
Βουζι N---GSM--- Βουζι
τὸν RA--ASM--- ὁ
ἱερέα N3V-ASM--- ἱερεύς
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χαλδαίων N2--GPM--- Χαλδαῖος
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
τοῦ RA--GSM--- ὁ
Χοβαρ N---GS---- Χοβαρ
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
χεὶρ N3--NSF--- χείρ
κυρίου N2--GSM--- κύριος

Eze 1:4
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
πνεῦμα N3M-NSN--- πνεῦμα
ἐξαῖρον V1--PAPNSN αἴρω ἐκ
ἤρχετο V1I-IMI3S- ἄρχω
ἀπὸ P--------- ἀπό
