Bel 1
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀστυάγης N1M-NSM--- Ἀστυάγης
προσετέθη VCI-API3S- τίθημι προς
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
πατέρας N3--APM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
παρέλαβεν VBI-AAI3S- λαμβάνω παρα
Κῦρος N---NSM--- Κῦρος
ὁ RA--NSM--- ὁ
Πέρσης N1M-NSM--- Πέρσης
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

Bel 2
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Δανιηλ N---NSM--- Δανιηλ
συμβιωτὴς N1M-NSM--- συμβιωτής
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἔνδοξος A1B-NSM--- ἔνδοξος
ὑπὲρ P--------- ὑπέρ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
φίλους A1--APM--- φίλος
αὐτοῦ RD--GSM--- αὐτός

Bel 3
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
εἴδωλον N2N-NSN--- εἴδωλον
τοῖς RA--DPM--- ὁ
Βαβυλωνίοις N2--DPM--- Βαβυλωνίος
ᾧ RR--DSN--- ὅς
ὄνομα N3M-NSN--- ὄνομα
Βηλ N---NSM--- Βηλ
καὶ C--------- καί
ἐδαπανῶντο V3I-IPI3P- δαπανάω
εἰς P--------- εἰς
αὐτὸν RD--ASM--- αὐτός
ἑκάστης A1--GSF--- ἕκαστος
ἡμέρας N1A-GSF--- ἡμέρα
σεμιδάλεως N3I-GSF--- σεμίδαλις
ἀρτάβαι N1--NPF--- ἀρτάβη
δώδεκα M--------- δώδεκα
καὶ C--------- καί
πρόβατα N2N-NPN--- πρόβατον
τεσσαράκοντα M--------- τεσσαράκοντα
καὶ C--------- καί
οἴνου N2--GSM--- οἶνος
μετρηταὶ N1M-NPM--- μετρητής
ἕξ M--------- ἕξ

Bel 4
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐσέβετο V1I-IMI3S- σέβω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ἐπορεύετο V1I-IMI3S- πορεύομαι
καθ' P--------- κατά
ἑκάστην A1--ASF--- ἕκαστος
ἡμέραν N1A-ASF--- ἡμέρα
προσκυνεῖν V2--PAN--- κυνέω προς
αὐτῷ RD--DSM--- αὐτός
Δανιηλ N---NSM--- Δανιηλ
δὲ X--------- δέ
προσεκύνει V2I-IAI3S- κυνέω προς
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
αὐτοῦ RD--GSM--- αὐτός

Bel 5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
διὰ P--------- διά
τί RI--ASN--- τίς
οὐ D--------- οὐ
προσκυνεῖς V2--PAI2S- κυνέω προς
τῷ RA--DSM--- ὁ
Βηλ N---DSM--- Βηλ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ὅτι C--------- ὅτι
οὐ D--------- οὐ
σέβομαι V1--PMI1S- σέβω
εἴδωλα N2N-APN--- εἴδωλον
χειροποίητα A1B-APN--- χειροποίητος
ἀλλὰ C--------- ἀλλά
τὸν RA--ASM--- ὁ
ζῶντα V3--PAPASM ζάω
θεὸν N2--ASM--- θεός
τὸν RA--ASM--- ὁ
κτίσαντα VA--AAPASM κτίζω
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἔχοντα V1--PAPASM ἔχω
πάσης A1S-GSF--- πᾶς
σαρκὸς N3K-GSF--- σάρξ
κυριείαν N1A-ASF--- κυριεία

Bel 6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
οὐ D--------- οὐ
δοκεῖ V2--PAI3S- δοκέω
σοι RP--DS---- σύ
Βηλ N---ASM--- Βηλ
εἶναι V9--PAN--- εἰμί
ζῶν V3--PAPNSM ζάω
θεός N2--NSM--- θεός
ἦ C--------- ἤ
οὐχ D--------- οὐ
ὁρᾷς V3--PAI2S- ὁράω
ὅσα A1--APN--- ὅσος
ἐσθίει V1--PAI3S- ἐσθίω
καὶ C--------- καί
πίνει V1--PAI3S- πίνω
καθ' P--------- κατά
ἑκάστην A1--ASF--- ἕκαστος
ἡμέραν N1A-ASF--- ἡμέρα

Bel 7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---NSM--- Δανιηλ
γελάσας VA--AAPNSM γελάω
μὴ D--------- μή
πλανῶ V3--PAI1S- πλανάω
βασιλεῦ N3V-VSM--- βασιλεύς
οὗτος RD--NSM--- οὗτος
γὰρ X--------- γάρ
ἔσωθεν D--------- ἔσωθεν
μέν X--------- μέν
ἐστι V9--PAI3S- εἰμί
πηλὸς N2--NSM--- πηλός
ἔξωθεν D--------- ἔξωθεν
δὲ X--------- δέ
χαλκὸς N2--NSM--- χαλκός
καὶ C--------- καί
οὐ D--------- οὐ
βέβρωκεν VX--XAI3S- βιβρώσκω
οὐδὲ C--------- οὐδέ
πέπωκεν VX--XAI3S- πίνω
πώποτε D--------- πώποτε

Bel 8
καὶ C--------- καί
θυμωθεὶς VC--APPNSM θυμόω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐκάλεσεν VAI-AAI3S- καλέω
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ἐὰν C--------- ἐάν
μὴ D--------- μή
εἴπητέ VB--AAS2P- εἶπον
μοι RP--DS---- ἐγώ
τίς RI--NSM--- τίς
ὁ RA--NSM--- ὁ
κατέσθων V1--PAPNSM ἐσθίω κατα
τὴν RA--ASF--- ὁ
δαπάνην N1--ASF--- δαπάνη
ταύτην RD--ASF--- οὗτος
ἀποθανεῖσθε VF2-FMI2P- θνήσκω ἀπο
ἐὰν C--------- ἐάν
δὲ X--------- δέ
δείξητε VA--AAS2P- δεικνύω
ὅτι C--------- ὅτι
Βηλ N---NSM--- Βηλ
κατεσθίει V1--PAI3S- ἐσθίω κατα
αὐτά RD--APN--- αὐτός
ἀποθανεῖται VF2-FMI2S- θνήσκω ἀπο
Δανιηλ N---NSM--- Δανιηλ
ὅτι C--------- ὅτι
ἐβλασφήμησεν VAI-AAI3S- βλασφημέω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
Βηλ N---ASM--- Βηλ

Bel 9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---NSM--- Δανιηλ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
γινέσθω V1--PMD3S- γίγνομαι
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ῥῆμά N3M-ASN--- ῥῆμα
σου RP--GS---- σύ
καὶ C--------- καί
ἦσαν V9--IAI3P- εἰμί
ἱερεῖς N3V-NPM--- ἱερεύς
τοῦ RA--GSM--- ὁ
Βηλ N---GSM--- Βηλ
ἑβδομήκοντα M--------- ἑβδομήκοντα
ἐκτὸς P--------- ἐκτός
γυναικῶν N3K-GPF--- γυνή
καὶ C--------- καί
τέκνων N2N-GPN--- τέκνον

Bel 10
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
μετὰ P--------- μετά
Δανιηλ N---GSM--- Δανιηλ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Βηλ N---GSM--- Βηλ

Bel 11
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
τοῦ RA--GSM--- ὁ
Βηλ N---GSM--- Βηλ
ἰδοὺ I--------- ἰδού
ἡμεῖς RP--NP---- ἐγώ
ἀποτρέχομεν V1--PAI1P- τρέχω ἀπο
ἔξω D--------- ἔξω
σὺ RP--NS---- σύ
δέ X--------- δέ
βασιλεῦ N3V-VSM--- βασιλεύς
παράθες VE--AAD2S- τίθημι παρα
τὰ RA--APN--- ὁ
βρώματα N3M-APN--- βρῶμα
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
κεράσας VA--AAPNSM κεράννυμι
θὲς VE--AAD2S- τίθημι
καὶ C--------- καί
ἀπόκλεισον VA--AAD2S- κλείω ἀπο
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
καὶ C--------- καί
σφράγισον VA--AAD2S- σφραγίζω
τῷ RA--DSM--- ὁ
δακτυλίῳ N2--DSM--- δακτύλιος
σου RP--GS---- σύ
καὶ C--------- καί
ἐλθὼν VB--AAPNSM ἔρχομαι
πρωὶ D--------- πρωΐ
ἐὰν C--------- ἐάν
μὴ D--------- μή
εὕρῃς VB--AAS2S- εὑρίσκω
πάντα A3--APN--- πᾶς
βεβρωμένα VM--XPPAPN βιβρώσκω
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
Βηλ N---GSM--- Βηλ
ἀποθανούμεθα VF2-FMI1P- θνήσκω ἀπο
ἢ C--------- ἤ
Δανιηλ N---NSM--- Δανιηλ
ὁ RA--NSM--- ὁ
ψευδόμενος V1--PMPNSM ψεύδομαι
καθ' P--------- κατά
ἡμῶν RP--GP---- ἐγώ

Bel 12
αὐτοὶ RD--NPM--- αὐτός
δὲ X--------- δέ
κατεφρόνουν V2I-IAI3P- φρονέω κατα
ὅτι C--------- ὅτι
πεποιήκεισαν VX--YAI3P- ποιέω
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
τράπεζαν N1S-ASF--- τράπεζα
κεκρυμμένην VP--XMPASF κρύπτω
εἴσοδον N2--ASF--- εἴσοδος
καὶ C--------- καί
δι' P--------- διά
αὐτῆς RD--GSF--- αὐτός
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
διόλου D--------- διόλου
καὶ C--------- καί
ἀνήλουν V4I-IAI3P- ἁλίσκω ἀνα
αὐτά RD--APN--- αὐτός

Bel 13
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἐξήλθοσαν VBI-AAI3P- ἔρχομαι ἐκ
ἐκεῖνοι RD--NPM--- ἐκεῖνος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
παρέθηκεν VAI-AAI3S- τίθημι παρα
τὰ RA--APN--- ὁ
βρώματα N3M-APN--- βρῶμα
τῷ RA--DSM--- ὁ
Βηλ N---DSM--- Βηλ

Bel 14
καὶ C--------- καί
ἐπέταξεν VAI-AAI3S- τάσσω ἐπι
Δανιηλ N---NSM--- Δανιηλ
τοῖς RA--DPN--- ὁ
παιδαρίοις N2N-DPN--- παιδάριον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἤνεγκαν VAI-AAI3P- φέρω
τέφραν N1A-ASF--- τέφρα
καὶ C--------- καί
κατέσησαν VAI-AAI3P- σείω κατα
ὅλον A1--ASM--- ὅλος
τὸν RA--ASM--- ὁ
ναὸν N2--ASM--- ναός
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
μόνου A1--GSM--- μόνος
καὶ C--------- καί
ἐξελθόντες VB--AAPNPM ἔρχομαι ἐκ
ἔκλεισαν VAI-AAI3P- κλείω
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
καὶ C--------- καί
ἐσφραγίσαντο VAI-AMI3P- σφραγίζω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δακτυλίῳ N2--DSM--- δακτύλιος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἀπῆλθον VBI-AAI3P- ἔρχομαι ἀπο

Bel 15
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἱερεῖς N3V-NPM--- ἱερεύς
ἦλθον VBI-AAI3P- ἔρχομαι
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ἔθος N3E-ASN--- ἔθος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
καὶ C--------- καί
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
κατέφαγον VBI-AAI3P- ἐσθίω κατα
πάντα A3--ASM--- πᾶς
καὶ C--------- καί
ἐξέπιον VBI-AAI3P- πίνω ἐκ

Bel 16
καὶ C--------- καί
ὤρθρισεν VAI-AAI3S- ὀρθρίζω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
καὶ C--------- καί
Δανιηλ N---NSM--- Δανιηλ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός

Bel 17
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
σῷοι A1A-NPM--- σῷος
αἱ RA--NPF--- ὁ
σφραγῖδες N3D-NPF--- σφραγίς
Δανιηλ N---VSM--- Δανιηλ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
σῷοι A1A-NPM--- σῷος
βασιλεῦ N3V-VSM--- βασιλεύς

Bel 18
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἅμα D--------- ἅμα
τῷ RA--DSN--- ὁ
ἀνοῖξαι VA--AMN--- οἴγω ἀνα
τὰς RA--APF--- ὁ
θύρας N1A-APF--- θύρα
ἐπιβλέψας VA--AAPNSM βλέπω ἐπι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐπὶ P--------- ἐπί
