Dan 1:1
ἐπὶ P--------- ἐπί
βασιλέως N3V-GSM--- βασιλεύς
Ιωακιμ N---GSM--- Ιωακιμ
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
ἔτους N3E-GSN--- ἔτος
τρίτου A1--GSN--- τρίτος
παραγενόμενος VB--AMPNSM γίγνομαι παρα
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἐπολιόρκει V2I-IAI3S- πολιορκέω
αὐτήν RD--ASF--- αὐτός

Dan 1:2
καὶ C--------- καί
παρέδωκεν VAI-AAI3S- δίδωμι παρα
αὐτὴν RD--ASF--- αὐτός
κύριος N2--NSM--- κύριος
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Ιωακιμ N---ASM--- Ιωακιμ
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
καὶ C--------- καί
μέρος N3E-ASN--- μέρος
τι RI--ASN--- τις
τῶν RA--GPN--- ὁ
ἱερῶν A1A-GPN--- ἱερός
σκευῶν N3E-GPN--- σκεῦος
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἀπήνεγκεν VAI-AAI3S- φέρω ἀπο
αὐτὰ RD--APN--- αὐτός
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
καὶ C--------- καί
ἀπηρείσατο VAI-AMI3S- ἐρείδομαι ἀπο
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
εἰδωλίῳ N2N-DSN--- εἰδωλῖον
αὐτοῦ RD--GSM--- αὐτός

Dan 1:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Αβιεσδρι N---DSM--- Αβιεσδρι
τῷ RA--DSM--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
ἀρχιευνούχῳ N2--DSM--- ἀρχιευνοῦχος
ἀγαγεῖν VB--AAN--- ἄγω
αὐτῷ RD--DSM--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
τῶν RA--GPM--- ὁ
μεγιστάνων N3--GPM--- μεγιστάν
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
βασιλικοῦ A1--GSN--- βασιλικός
γένους N3E-GSN--- γένος
καὶ C--------- καί
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἐπιλέκτων A1B-GPM--- ἐπίλεκτος

Dan 1:4
νεανίσκους N2--APM--- νεανίσκος
ἀμώμους A1B-APM--- ἄμωμος
καὶ C--------- καί
εὐειδεῖς A3H-APM--- εὐειδής
καὶ C--------- καί
ἐπιστήμονας A3N-APM--- ἐπιστήμων
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
σοφίᾳ N1A-DSF--- σοφία
καὶ C--------- καί
γραμματικοὺς A1--APM--- γραμματικός
καὶ C--------- καί
συνετοὺς A1--APM--- συνετός
καὶ C--------- καί
σοφοὺς A1--APM--- σοφός
καὶ C--------- καί
ἰσχύοντας V1--PAPAPM ἰσχύω
ὥστε C--------- ὥστε
εἶναι V9--PAN--- εἰμί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
διδάξαι VA--AAN--- διδάσκω
αὐτοὺς RD--APM--- αὐτός
γράμματα N3M-APN--- γράμμα
καὶ C--------- καί
διάλεκτον N2--ASF--- διάλεκτος
Χαλδαϊκὴν A1--ASF--- Χαλδαϊκός

Dan 1:5
καὶ C--------- καί
δίδοσθαι V8--PMN--- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
ἔκθεσιν N3I-ASF--- ἔκθεσις
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καθ' P--------- κατά
ἑκάστην A1--ASF--- ἕκαστος
ἡμέραν N1A-ASF--- ἡμέρα
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
βασιλικῆς A1--GSF--- βασιλικός
τραπέζης N1S-GSF--- τράπεζα
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴνου N2--GSM--- οἶνος
οὗ RR--GSM--- ὅς
πίνει V1--PAI3S- πίνω
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ἐκπαιδεῦσαι VA--AAN--- παιδεύω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἔτη N3E-APN--- ἔτος
τρία A3--APN--- τρεῖς
καὶ C--------- καί
ἐκ P--------- ἐκ
τούτων RD--GPM--- οὗτος
στῆσαι VA--AAN--- ἵστημι
ἔμπροσθεν P--------- ἔμπροσθεν
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Dan 1:6
καὶ C--------- καί
ἦσαν V9I-IAI3P- εἰμί
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
τῶν RA--GPM--- ὁ
