DanTh 1:1
ἐν P--------- ἐν
ἔτει N3E-DSN--- ἔτος
τρίτῳ A1--DSN--- τρίτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
Ιωακιμ N---GSM--- Ιωακιμ
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
ἦλθεν VBI-AAI3S- ἔρχομαι
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
εἰς P--------- εἰς
Ιερουσαλημ N---NSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἐπολιόρκει V2I-IAI3S- πολιορκέω
αὐτήν RD--ASF--- αὐτός

DanTh 1:2
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
τὸν RA--ASM--- ὁ
Ιωακιμ N---ASM--- Ιωακιμ
βασιλέα N3V-ASM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἀπὸ P--------- ἀπό
μέρους N3E-GSN--- μέρος
τῶν RA--GPN--- ὁ
σκευῶν N3E-GPN--- σκεῦος
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἤνεγκεν VAI-AAI3S- φέρω
αὐτὰ RD--APN--- αὐτός
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Σεννααρ N---GS---- Σεννααρ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
εἰσήνεγκεν VAI-AAI3S- φέρω εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
θησαυροῦ N2--GSM--- θησαυρός
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός

DanTh 1:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Ασφανεζ N---DSM--- Ασφανεζ
τῷ RA--DSM--- ὁ
ἀρχιευνούχῳ N2--DSM--- ἀρχιευνοῦχος
αὐτοῦ RD--GSM--- αὐτός
εἰσαγαγεῖν VB--AAN--- ἄγω εἰς
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
τῆς RA--GSF--- ὁ
