Job 1:1
ἄνθρωπός N2--NSM--- ἄνθρωπος
τις RI--NSM--- τις
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
χώρᾳ N1A-DSF--- χώρα
τῇ RA--DSF--- ὁ
Αυσίτιδι N3D-DSF--- Αυσῖτις
ᾧ RR--DSM--- ὅς
ὄνομα N3M-NSN--- ὄνομα
Ιωβ N---NSM--- Ιωβ
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐκεῖνος RD--NSM--- ἐκεῖνος
ἀληθινός A1--NSM--- ἀληθινός
ἄμεμπτος A1B-NSM--- ἄμεμπτος
δίκαιος A1A-NSM--- δίκαιος
θεοσεβής A3H-NSM--- θεοσεβής
ἀπεχόμενος V1--PMPNSM ἔχω ἀπο
ἀπὸ P--------- ἀπό
παντὸς A3--GSN--- πᾶς
πονηροῦ A1A-GSN--- πονηρός
πράγματος N3M-GSN--- πρᾶγμα

Job 1:2
ἐγένοντο VBI-AMI3P- γίγνομαι
δὲ X--------- δέ
αὐτῷ RD--DSM--- αὐτός
υἱοὶ N2--NPM--- υἱός
ἑπτὰ M--------- ἑπτά
καὶ C--------- καί
θυγατέρες N3--NPF--- θυγάτηρ
τρεῖς A3--NPF--- τρεῖς

Job 1:3
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
τὰ RA--NPN--- ὁ
κτήνη N3E-NPN--- κτῆνος
αὐτοῦ RD--GSM--- αὐτός
πρόβατα N2N-NPN--- πρόβατον
ἑπτακισχίλια A1A-NPN--- ἑπτακισχίλιοι
κάμηλοι N2--NPF--- κάμηλος
τρισχίλιαι A1A-NPF--- τρισχίλιοι
ζεύγη N3E-NPN--- ζεῦγος
βοῶν N3--GPF--- βοῦς
πεντακόσια A1A-APN--- πεντακόσιοι
ὄνοι N2--NPF--- ὄνος
θήλειαι A3U-NPF--- θῆλυς
νομάδες N3D-NPF--- νομάς
πεντακόσιαι A1A-NPF--- πεντακόσιοι
καὶ C--------- καί
ὑπηρεσία N1A-NSF--- ὑπηρεσία
πολλὴ A1--NSF--- πολύς
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἔργα N2N-NPN--- ἔργον
μεγάλα A1P-NPN--- μέγας
ἦν V9--IAI3S- εἰμί
αὐτῷ RD--DSM--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐκεῖνος RD--NSM--- ἐκεῖνος
εὐγενὴς A3H-NSM--- εὐγενής
τῶν RA--GPM--- ὁ
ἀφ' P--------- ἀπό
ἡλίου N2--GSM--- ἥλιος
ἀνατολῶν N1--GPF--- ἀνατολή

Job 1:4
συμπορευόμενοι V1--PMPNPM πορεύομαι συν
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
ἀλλήλους RD--APM--- ἀλλήλω
ἐποιοῦσαν VAI-AAI3P- ποιέω
πότον N2--ASM--- πότος
καθ' P--------- κατά
ἑκάστην A1--ASF--- ἕκαστος
ἡμέραν N1A-ASF--- ἡμέρα
συμπαραλαμβάνοντες V1--PAPNPM λαμβάνω συν παρα
ἅμα D--------- ἅμα
καὶ D--------- καί
τὰς RA--APF--- ὁ
τρεῖς A3--APF--- τρεῖς
ἀδελφὰς N1--APF--- ἀδελφή
αὐτῶν RD--GPM--- αὐτός
ἐσθίειν V1--PAN--- ἐσθίω
καὶ C--------- καί
πίνειν V1--PAN--- πίνω
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός

Job 1:5
καὶ C--------- καί
ὡς C--------- ὡς
ἂν X--------- ἄν
συνετελέσθησαν VSI-API3P- τελέω συν
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τοῦ RA--GSM--- ὁ
πότου N2--GSM--- πότος
ἀπέστελλεν V1I-IAI3S- στέλλω ἀπο
Ιωβ N---NSM--- Ιωβ
καὶ C--------- καί
ἐκαθάριζεν V1I-IAI3S- καθαρίζω
αὐτοὺς RD--APM--- αὐτός
ἀνιστάμενος V6--PMPNSM ἵστημι ἀνα
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
καὶ C--------- καί
προσέφερεν V1I-IAI3S- φέρω προς
περὶ P--------- περί
αὐτῶν RD--GPM--- αὐτός
θυσίας N1A-APF--- θυσία
