Wis 1:1
Ἀγαπήσατε VA--AAD2P- ἀγαπάω
δικαιοσύνην N1--ASF--- δικαιοσύνη
οἱ RA--VPM--- ὁ
κρίνοντες V1--PAPVPM κρίνω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
φρονήσατε VA--AAD2P- φρονέω
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
ἀγαθότητι N3T-DSF--- ἀγαθότης
καὶ C--------- καί
ἐν P--------- ἐν
ἁπλότητι N3T-DSF--- ἁπλότης
καρδίας N1A-GSF--- καρδία
ζητήσατε VA--AAD2P- ζητέω
αὐτόν RD--ASM--- αὐτός

Wis 1:2
ὅτι C--------- ὅτι
εὑρίσκεται V1--PMI3S- εὑρίσκω
τοῖς RA--DPM--- ὁ
μὴ D--------- μή
πειράζουσιν V1--PAPDPM πειράζω
αὐτόν RD--ASM--- αὐτός
ἐμφανίζεται V1--PMI3S- ἐμφανίζω
δὲ X--------- δέ
τοῖς RA--DPM--- ὁ
μὴ D--------- μή
ἀπιστοῦσιν V2--PAPDPM ἀπιστέω
αὐτῷ RD--DSM--- αὐτός

Wis 1:3
σκολιοὶ A1A-NPM--- σκολιός
γὰρ X--------- γάρ
λογισμοὶ N2--NPM--- λογισμός
χωρίζουσιν V1--PAI3P- χωρίζω
ἀπὸ P--------- ἀπό
θεοῦ N2--GSM--- θεός
δοκιμαζομένη V1--PMPNSF δοκιμάζω
τε X--------- τε
ἡ RA--NSF--- ὁ
δύναμις N3I-NSF--- δύναμις
ἐλέγχει V1--PAI3S- ἐλέγχω
τοὺς RA--APM--- ὁ
ἄφρονας A3N-APM--- ἄφρων

Wis 1:4
ὅτι C--------- ὅτι
εἰς P--------- εἰς
κακότεχνον A1B-ASF--- κακότεχνος
ψυχὴν N1--ASF--- ψυχή
οὐκ D--------- οὐ
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
σοφία N1A-NSF--- σοφία
οὐδὲ C--------- οὐδέ
κατοικήσει N3I-DSF--- κατοίκησις
ἐν P--------- ἐν
σώματι N3M-DSN--- σῶμα
κατάχρεῳ A1B-DSN--- κατάχρεος
ἁμαρτίας N1A-GSF--- ἁμαρτία

Wis 1:5
ἅγιον A1A-NSN--- ἅγιος
γὰρ X--------- γάρ
πνεῦμα N3M-NSN--- πνεῦμα
παιδείας N1A-GSF--- παιδεία
φεύξεται VF--FMI3S- φεύγω
δόλον N2--ASM--- δόλος
καὶ C--------- καί
ἀπαναστήσεται VF--FMI3S- ἵστημι ἀπο ἀνα
ἀπὸ P--------- ἀπό
λογισμῶν N2--GPM--- λογισμός
ἀσυνέτων A1B-GPM--- ἀσύνετος
καὶ C--------- καί
ἐλεγχθήσεται VC--FPI3S- ἐλέγχω
ἐπελθούσης VB--AAPGSF ἔρχομαι ἐπι
ἀδικίας N1A-GSF--- ἀδικία

Wis 1:6
φιλάνθρωπον A1B-NSN--- φιλάνθρωπος
γὰρ X--------- γάρ
πνεῦμα N3M-NSN--- πνεῦμα
σοφία N1A-NSF--- σοφία
καὶ C--------- καί
οὐκ D--------- οὐ
ἀθῳώσει VF--FAI3S- ἀθῳόω
βλάσφημον A1B-ASN--- βλάσφημος
ἀπὸ P--------- ἀπό
χειλέων N3E-GPN--- χεῖλος
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
τῶν RA--GPM--- ὁ
νεφρῶν N2--GPM--- νεφρός
αὐτοῦ RD--GSM--- αὐτός
μάρτυς N3--NSM--- μάρτυς
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ἐπίσκοπος N2--NSM--- ἐπισκοπός
ἀληθὴς A3H-NSM--- ἀληθής
καὶ C--------- καί
τῆς RA--GSF--- ὁ
γλώσσης N1S-GSF--- γλῶσσα
ἀκουστής A1--GSF--- ἀκουστός

Wis 1:7
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
κυρίου N2--GSM--- κύριος
πεπλήρωκεν VX--XAI3S- πληρόω
τὴν RA--ASF--- ὁ
οἰκουμένην V2--PMPASF οἰκέω
καὶ C--------- καί
τὸ RA--NSN--- ὁ
συνέχον V1--PAPNSN ἔχω συν
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
γνῶσιν N3I-ASF--- γνῶσις
ἔχει V1--PAI3S- ἔχω
φωνῆς N1--GSF--- φωνή

Wis 1:8
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
φθεγγόμενος V1--PMPNSM φθέγγομαι
ἄδικα A1B-APN--- ἄδικος
οὐδεὶς A3--NSM--- οὐδείς
μὴ D--------- μή
λάθῃ VF--FAI3S- λανθάνω
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
παροδεύσῃ VF--FAI3S- ὁδεύω παρα
αὐτὸν RD--ASM--- αὐτός
ἐλέγχουσα V1--PAPNSF ἐλέγχω
ἡ RA--NSF--- ὁ
δίκη N1--NSF--- δίκη

Wis 1:9
ἐν P--------- ἐν
γὰρ X--------- γάρ
διαβουλίοις N2N-DPN--- διαβούλιον
ἀσεβοῦς A3H-GSM--- ἀσεβής
ἐξέτασις N3I-NSF--- ἐξέτασις
ἔσται VF--FMI3S- εἰμί
λόγων N2--GPM--- λόγος
δὲ X--------- δέ
αὐτοῦ RD--GSM--- αὐτός
ἀκοὴ N1--NSF--- ἀκοή
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
ἥξει VF--FAI3S- ἥκω
εἰς P--------- εἰς
ἔλεγχον N2--ASM--- ἔλεγχος
ἀνομημάτων N3M-GPN--- ἀνόμημα
αὐτοῦ RD--GSM--- αὐτός

Wis 1:10
ὅτι C--------- ὅτι
οὖς N3T-NSN--- οὖς
ζηλώσεως N3I-GSF--- ζήλωσις
ἀκροᾶται V3--PMI3S- ἀκροάομαι
τὰ RA--APN--- ὁ
πάντα A3--ASM--- πᾶς
καὶ C--------- καί
θροῦς N3--NSM--- θροῦς
γογγυσμῶν N2--GPM--- γογγυσμός
οὐκ D--------- οὐ
ἀποκρύπτεται V1--PMI3S- κρύπτω ἀπο

Wis 1:11
φυλάξασθε VA--AMD2P- φυλάσσω
τοίνυν X--------- τοίνυν
γογγυσμὸν N2--ASM--- γογγυσμός
ἀνωφελῆ A3H-ASM--- ἀνωφελής
καὶ C--------- καί
ἀπὸ P--------- ἀπό
καταλαλιᾶς N1A-GSF--- καταλαλιά
φείσασθε VA--AMD2P- φείδομαι
γλώσσης N1S-GSF--- γλῶσσα
ὅτι C--------- ὅτι
φθέγμα N3M-NSN--- φθέγμα
λαθραῖον A1B-NSN--- λαθραῖος
κενὸν A1--ASN--- κενός
οὐ D--------- οὐ
πορεύσεται VF--FMI3S- πορεύομαι
στόμα N3M-NSN--- στόμα
δὲ X--------- δέ
καταψευδόμενον V1--PMPNSN ψεύδω κατα
ἀναιρεῖ V2--PAI3S- αἱρέω ἀνα
ψυχήν N1--ASF--- ψυχή

Wis 1:12
μὴ D--------- μή
ζηλοῦτε V4--PAD2P- ζηλόω
θάνατον N2--ASM--- θάνατος
ἐν P--------- ἐν
πλάνῃ N1--DSF--- πλάνη
ζωῆς N1--GSF--- ζωή
ὑμῶν RP--GP---- σύ
μηδὲ C--------- μηδέ
ἐπισπᾶσθε V3--PMD2P- σπάω ἐπι
ὄλεθρον N2--ASM--- ὄλεθρος
ἐν P--------- ἐν
ἔργοις N2N-DPN--- ἔργον
χειρῶν N3--GPF--- χείρ
ὑμῶν RP--GP---- σύ

Wis 1:13
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
θάνατον N2--ASM--- θάνατος
οὐκ D--------- οὐ
ἐποίησεν VAI-AAI3S- ποιέω
οὐδὲ C--------- οὐδέ
τέρπεται V1--PMI3S- τέρπω
ἐπ' P--------- ἐπί
ἀπωλείᾳ N1A-DSF--- ἀπώλεια
ζώντων V3--PAPGPN ζάω

Wis 1:14
ἔκτισεν VAI-AAI3S- κτίζω
γὰρ X--------- γάρ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
εἶναι V9--PAN--- εἰμί
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
καὶ C--------- καί
σωτήριοι A1B-NPF--- σωτήριος
αἱ RA--NPF--- ὁ
γενέσεις N3I-NPF--- γένεσις
τοῦ RA--GSM--- ὁ
κόσμου N2--GSM--- κόσμος
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
φάρμακον N2N-ASN--- φάρμακον
ὀλέθρου N2--GSM--- ὄλεθρος
οὔτε C--------- οὔτε
ᾅδου N1M-GSM--- ᾅδης
βασίλειον N2N-ASN--- βασίλειον
ἐπὶ P--------- ἐπί
