2Ma 1:1
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
τοῖς RA--DPM--- ὁ
κατ' P--------- κατά
Αἴγυπτον N2--ASF--- Αἴγυπτος
Ιουδαίοις N2--DPM--- Ἰουδαῖος
χαίρειν V1--PAN--- χαίρω
οἱ RA--NPM--- ὁ
ἀδελφοὶ N2--NPM--- ἀδελφός
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
Ιεροσολύμοις N3M-DPM--- Ιεροσόλυμα
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χώρᾳ N1A-DSF--- χώρα
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
εἰρήνην N1--ASF--- εἰρήνη
ἀγαθήν A1--ASF--- ἀγαθός

2Ma 1:2
καὶ C--------- καί
ἀγαθοποιήσαι VA--AAN--- ἀγαθοποιέω
ὑμῖν RP--DP---- σύ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
καὶ C--------- καί
μνησθείη VS--APO3S- μιμνήσκω
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
αὐτοῦ RD--GSM--- αὐτός
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
Αβρααμ N---ASM--- Ἀβραάμ
καὶ C--------- καί
Ισαακ N---ASM--- Ισαακ
καὶ C--------- καί
Ιακωβ N---ASM--- Ἰακώβ
τῶν RA--GPM--- ὁ
δούλων N2--GPM--- δοῦλος
αὐτοῦ RD--GSM--- αὐτός
τῶν RA--GPM--- ὁ
πιστῶν A1--GPM--- πιστός

2Ma 1:3
καὶ C--------- καί
δῴη VO--AAO3S- δίδωμι
ὑμῖν RP--DP---- σύ
καρδίαν N1A-ASF--- καρδία
πᾶσιν A3--DPM--- πᾶς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
σέβεσθαι V1--PMN--- σέβομαι
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ποιεῖν V2--PAN--- ποιέω
αὐτοῦ RD--GSM--- αὐτός
τὰ RA--APN--- ὁ
θελήματα N3M-APN--- θέλημα
καρδίᾳ N1A-DSF--- καρδία
μεγάλῃ A1--DSF--- μέγας
καὶ C--------- καί
ψυχῇ N1--DSF--- ψυχή
βουλομένῃ V1--PMPDSF βούλομαι

2Ma 1:4
καὶ C--------- καί
διανοίξαι VA--AAN--- οἴγω δια ἀνα
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
ὑμῶν RP--GP---- σύ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
νόμῳ N2--DSM--- νόμος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
προστάγμασιν N3M-DPN--- πρόσταγμα
καὶ C--------- καί
εἰρήνην N1--ASF--- εἰρήνη
ποιήσαι VA--AAN--- ποιέω

2Ma 1:5
καὶ C--------- καί
ἐπακούσαι VA--AAN--- ἀκούω ἐπι
ὑμῶν RP--GP---- σύ
τῶν RA--GPF--- ὁ
δεήσεων N3I-GPF--- δέησις
καὶ C--------- καί
καταλλαγείη VA--AAO3S- ἀλλάσσω κατα
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
μὴ D--------- μή
ὑμᾶς RP--AP---- σύ
ἐγκαταλίποι VB--AAO3S- λείπω ἐν κατα
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
πονηρῷ A1A-DSM--- πονηρός

2Ma 1:6
καὶ C--------- καί
νῦν D--------- νῦν
ὧδέ D--------- ὧδε
ἐσμεν V9--PAI1P- εἰμί
προσευχόμενοι V1--PMPNPM εὔχομαι προς
περὶ P--------- περί
ὑμῶν RP--GP---- σύ

2Ma 1:7
βασιλεύοντος V1--PAPGSM βασιλεύω
Δημητρίου N2--GSM--- Δημήτριος
ἔτους N3E-GSN--- ἔτος
ἑκατοστοῦ A1--GSN--- ἑκατοστός
ἑξηκοστοῦ A1--GSN--- ἑξηκοστός
ἐνάτου A1--GSN--- ἔνατος
ἡμεῖς RP--NP---- ἐγώ
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
γεγράφαμεν VX--XAI1P- γράφω
ὑμῖν RP--DP---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
θλίψει N3I-DSF--- θλῖψις
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀκμῇ N1--DSF--- ἀκμή
τῇ RA--DSF--- ὁ
ἐπελθούσῃ VB--AAPDSF ἔρχομαι ἐπι
ἡμῖν RP--DP---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔτεσιν N3E-DPN--- ἔτος
τούτοις RD--DPN--- οὗτος
ἀφ' P--------- ἀπό
οὗ RR--GSM--- ὅς
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
Ἰάσων N3W-NSM--- Ἰάσων
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἁγίας A1A-GSF--- ἅγιος
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία

2Ma 1:8
καὶ C--------- καί
ἐνεπύρισαν VXI-XAI3P- πυρίζω
τὸν RA--ASM--- ὁ
πυλῶνα N3W-ASM--- πυλών
καὶ C--------- καί
ἐξέχεαν VAI-AAI3P- χέω ἐκ
αἷμα N3M-ASN--- αἷμα
ἀθῶον A1B-ASN--- ἀθῶος
καὶ C--------- καί
ἐδεήθημεν VCI-API1P- δέω
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἰσηκούσθημεν VCI-API1P- ἀκούω εἰς
καὶ C--------- καί
προσηνέγκαμεν VAI-AAI1P- φέρω προς
θυσίαν N1A-ASF--- θυσία
καὶ C--------- καί
σεμίδαλιν N3I-ASF--- σεμίδαλις
καὶ C--------- καί
ἐξήψαμεν VAI-AAI1P- ἅπτω ἐκ
τοὺς RA--APM--- ὁ
λύχνους N2--APM--- λύχνος
καὶ C--------- καί
προεθήκαμεν VAI-AAI1P- τίθημι προ
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος

2Ma 1:9
καὶ C--------- καί
νῦν D--------- νῦν
ἵνα C--------- ἵνα
ἄγητε V1--PAS2P- ἄγω
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
σκηνοπηγίας N1A-GSF--- σκηνοπηγία
τοῦ RA--GSM--- ὁ
Χασελευ N---GSM--- Χασελευ
μηνός N3--GSM--- μήν
ἔτους N3E-GSN--- ἔτος
ἑκατοστοῦ A1--GSN--- ἑκατοστός
ὀγδοηκοστοῦ A1--GSN--- ὀγδοηκοστός
καὶ C--------- καί
ὀγδόου A1--GSN--- ὄγδοος

2Ma 1:10
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
Ιεροσολύμοις N3M-DPM--- Ιεροσόλυμα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Ιουδαίᾳ N1A-DSF--- Ἰουδαία
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γερουσία N1A-NSF--- γερουσία
καὶ C--------- καί
Ιουδας N1T-NSM--- Ἰούδας
Ἀριστοβούλῳ N2--DSM--- Ἀριστόβουλος
διδασκάλῳ N2--DSM--- διδάσκαλος
Πτολεμαίου N2--GSM--- Πτολεμαῖος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὄντι V9--PAPDSM εἰμί
δὲ X--------- δέ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
τῶν RA--GPM--- ὁ
χριστῶν A1--GPM--- χριστός
ἱερέων N3V-GPM--- ἱερεύς
γένους N3E-GSN--- γένος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
Ιουδαίοις N2--DPM--- Ἰουδαῖος
χαίρειν V1--PAN--- χαίρω
καὶ C--------- καί
ὑγιαίνειν V1--PAN--- ὑγιαίνω

2Ma 1:11
ἐκ P--------- ἐκ
μεγάλων A1--GPM--- μέγας
κινδύνων N2--GPM--- κίνδυνος
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
σεσῳσμένοι VM--XMPNPM σώζω
μεγάλως D--------- μεγάλως
εὐχαριστοῦμεν V2--PAI1P- εὐχαριστέω
αὐτῷ RD--DSM--- αὐτός
ὡς X--------- ὡς
ἂν X--------- ἄν
πρὸς P--------- πρός
βασιλέα N3V-ASM--- βασιλεύς
παρατασσόμενοι V1--PMPNPM τάσσω παρα

2Ma 1:12
αὐτὸς RD--NSM--- αὐτός
γὰρ X--------- γάρ
ἐξέβρασεν VAI-AAI3S- βράζω ἐκ
τοὺς RA--APM--- ὁ
παραταξαμένους VA--AMPAPM τάσσω παρα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἁγίᾳ A1A-DSF--- ἅγιος
πόλει N3I-DSF--- πόλις

2Ma 1:13
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Περσίδα N3D-ASF--- Περσίς
γενόμενος VB--AMPNSM γίγνομαι
γὰρ X--------- γάρ
