010101 N- ----NSF- Βίβλος Βίβλος βίβλος βίβλος
010101 N- ----GSF- γενέσεως γενέσεως γενέσεως γένεσις
010101 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
010101 N- ----GSM- χριστοῦ χριστοῦ Χριστοῦ Χριστός
010101 N- ----GSM- υἱοῦ υἱοῦ υἱοῦ υἱός
010101 N- ----GSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010101 N- ----GSM- υἱοῦ υἱοῦ υἱοῦ υἱός
010101 N- ----GSM- Ἀβραάμ. Ἀβραάμ Ἀβραάμ Ἀβραάμ
010102 N- ----NSM- Ἀβραὰμ Ἀβραὰμ Ἀβραάμ Ἀβραάμ
010102 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010102 RA ----ASM- τὸν τὸν τόν ὁ
010102 N- ----ASM- Ἰσαάκ, Ἰσαάκ Ἰσαάκ Ἰσαάκ
010102 N- ----NSM- Ἰσαὰκ Ἰσαὰκ Ἰσαάκ Ἰσαάκ
010102 C- -------- δὲ δὲ δέ δέ
010102 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010102 RA ----ASM- τὸν τὸν τόν ὁ
010102 N- ----ASM- Ἰακώβ, Ἰακώβ Ἰακώβ Ἰακώβ
010102 N- ----NSM- Ἰακὼβ Ἰακὼβ Ἰακώβ Ἰακώβ
010102 C- -------- δὲ δὲ δέ δέ
010102 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010102 RA ----ASM- τὸν τὸν τόν ὁ
010102 N- ----ASM- Ἰούδαν Ἰούδαν Ἰούδαν Ἰούδας
010102 C- -------- καὶ καὶ καί καί
010102 RA ----APM- τοὺς τοὺς τούς ὁ
010102 N- ----APM- ἀδελφοὺς ἀδελφοὺς ἀδελφούς ἀδελφός
010102 RP ----GSM- αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
010103 N- ----NSM- Ἰούδας Ἰούδας Ἰούδας Ἰούδας
010103 C- -------- δὲ δὲ δέ δέ
010103 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010103 RA ----ASM- τὸν τὸν τόν ὁ
010103 N- ----ASM- Φαρὲς Φαρὲς Φαρές Φαρές
010103 C- -------- καὶ καὶ καί καί
010103 RA ----ASM- τὸν τὸν τόν ὁ
010103 N- ----ASM- Ζάρα Ζάρα Ζάρα Ζάρα
010103 P- -------- ἐκ ἐκ ἐκ ἐκ
010103 RA ----GSF- τῆς τῆς τῆς ὁ
010103 N- ----GSF- Θαμάρ, Θαμάρ Θαμάρ Θαμάρ
010103 N- ----NSM- Φαρὲς Φαρὲς Φαρές Φαρές
010103 C- -------- δὲ δὲ δέ δέ
010103 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010103 RA ----ASM- τὸν τὸν τόν ὁ
010103 N- ----ASM- Ἑσρώμ, Ἑσρώμ Ἑσρώμ Ἑσρώμ
010103 N- ----NSM- Ἑσρὼμ Ἑσρὼμ Ἑσρώμ Ἑσρώμ
010103 C- -------- δὲ δὲ δέ δέ
010103 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010103 RA ----ASM- τὸν τὸν τόν ὁ
010103 N- ----ASM- Ἀράμ, Ἀράμ Ἀράμ Ἀράμ
010104 N- ----NSM- Ἀρὰμ Ἀρὰμ Ἀράμ Ἀράμ
010104 C- -------- δὲ δὲ δέ δέ
010104 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010104 RA ----ASM- τὸν τὸν τόν ὁ
010104 N- ----ASM- Ἀμιναδάβ, Ἀμιναδάβ Ἀμιναδάβ Ἀμιναδάβ
010104 N- ----NSM- Ἀμιναδὰβ Ἀμιναδὰβ Ἀμιναδάβ Ἀμιναδάβ
010104 C- -------- δὲ δὲ δέ δέ
010104 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010104 RA ----ASM- τὸν τὸν τόν ὁ
010104 N- ----ASM- Ναασσών, Ναασσών Ναασσών Ναασσών
010104 N- ----NSM- Ναασσὼν Ναασσὼν Ναασσών Ναασσών
010104 C- -------- δὲ δὲ δέ δέ
010104 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010104 RA ----ASM- τὸν τὸν τόν ὁ
010104 N- ----ASM- Σαλμών, Σαλμών Σαλμών Σαλμών
010105 N- ----NSM- Σαλμὼν Σαλμὼν Σαλμών Σαλμών
010105 C- -------- δὲ δὲ δέ δέ
010105 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010105 RA ----ASM- τὸν τὸν τόν ὁ
010105 N- ----ASM- ⸂Βόες Βόες Βόες Βόες
010105 P- -------- ἐκ ἐκ ἐκ ἐκ
010105 RA ----GSF- τῆς τῆς τῆς ὁ
010105 N- ----GSF- Ῥαχάβ, Ῥαχάβ Ῥαχάβ Ῥαχάβ
010105 N- ----NSM- Βόες⸃ Βόες Βόες Βόες
010105 C- -------- δὲ δὲ δέ δέ
010105 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010105 RA ----ASM- τὸν τὸν τόν ὁ
010105 N- ----ASM- ⸂Ἰωβὴδ Ἰωβὴδ Ἰωβήδ Ἰωβήδ
010105 P- -------- ἐκ ἐκ ἐκ ἐκ
010105 RA ----GSF- τῆς τῆς τῆς ὁ
010105 N- ----GSF- Ῥούθ, Ῥούθ Ῥούθ Ῥούθ
